A18 (original)
1.0000000 0.0061400
0.9500000 0.0181700
0.9000000 0.0285800
0.8000000 0.0462400
0.7000000 0.0605600
0.6000000 0.0719700
0.5500000 0.0761200
0.5000000 0.0797500
0.4500000 0.0829300
0.4000000 0.0837600
0.3500000 0.0846600
0.3000000 0.0838300
0.2500000 0.0806500
0.2000000 0.0760100
0.1500000 0.0702600
0.1000000 0.0623400
0.0750000 0.0566000
0.0500000 0.0492300
0.0250000 0.0394700
0.0125000 0.0323900
0.0000000 0.0186500
0.0125000 0.0078100
0.0250000 0.0035700
0.0500000 0.0007500
0.0750000 0.0000000
0.1000000 0.0000600
0.1500000 0.0020000
0.2000000 0.0047500
0.2500000 0.0080600
0.3000000 0.0103800
0.3500000 0.0135300
0.4000000 0.0165700
0.4500000 0.0178000
0.5000000 0.0188400
0.5500000 0.0198000
0.6000000 0.0199800
0.7000000 0.0192400
0.8000000 0.0145200
0.9000000 0.0081300
0.9500000 0.0043400
1.0000000 0.0000000
