AG45ct -02f
1.0000000 0.0003110
0.9942270 0.0008470
0.9825950 0.0019290
0.9694340 0.0031390
0.9560490 0.0043550
0.9426450 0.0055570
0.9292040 0.0067470
0.9157420 0.0079220
0.9022510 0.0090850
0.8887630 0.0102320
0.8752710 0.0113660
0.8617750 0.0124830
0.8482920 0.0135860
0.8348120 0.0146710
0.8213510 0.0157420
0.8078980 0.0167970
0.7944490 0.0178380
0.7810090 0.0188630
0.7675700 0.0198740
0.7541390 0.0208710
0.7407010 0.0218540
0.7272450 0.0228230
0.7167930 0.0235680
0.7106260 0.0240020
0.7070820 0.0242510
0.7025530 0.0245710
0.6972390 0.0251180
0.6866130 0.0262070
0.6722460 0.0276620
0.6651900 0.0283680
0.6546070 0.0294180
0.6435580 0.0305000
0.6292390 0.0318780
0.6126120 0.0334450
0.6007110 0.0345410
0.5865340 0.0358190
0.5723860 0.0370630
0.5611590 0.0380280
0.5520850 0.0387890
0.5439680 0.0394590
0.5299170 0.0405900
0.5158780 0.0416830
0.5017820 0.0427400
0.4876350 0.0437620
0.4734590 0.0447430
0.4592480 0.0456840
0.4449980 0.0465800
0.4307520 0.0474270
0.4165270 0.0482210
0.4023350 0.0489570
0.3881990 0.0496310
0.3741250 0.0502430
0.3601120 0.0507880
0.3461520 0.0512660
0.3322370 0.0516740
0.3183500 0.0520110
0.3044720 0.0522740
0.2906010 0.0524590
0.2767460 0.0525600
0.2629110 0.0525670
0.2491090 0.0524770
0.2353410 0.0522780
0.2215930 0.0519630
0.2078710 0.0515200
0.1941760 0.0509370
0.1805070 0.0502040
0.1668880 0.0493070
0.1533090 0.0482330
0.1397930 0.0469670
0.1263540 0.0454910
0.1130010 0.0437800
0.0997750 0.0418150
0.0866950 0.0395540
0.0738200 0.0369620
0.0611950 0.0339860
0.0489490 0.0305690
0.0372660 0.0266720
0.0265370 0.0223210
0.0174640 0.0177720
0.0107530 0.0135530
0.0063240 0.0100380
0.0035080 0.0071940
0.0017190 0.0048370
0.0006410 0.0028240
0.0001080 0.0011020
0.0000120 -0.0003410
0.0003230 -0.0017240
0.0012000 -0.0031220
0.0027970 -0.0044580
0.0051650 -0.0057850
0.0086240 -0.0072130
0.0138350 -0.0088290
0.0216270 -0.0106190
0.0319160 -0.0123450
0.0437660 -0.0137860
0.0563910 -0.0149050
0.0693860 -0.0157560
0.0826020 -0.0163930
0.0959680 -0.0168680
0.1094350 -0.0172000
0.1229810 -0.0174120
0.1365840 -0.0175250
0.1502380 -0.0175590
0.1639230 -0.0175270
0.1776450 -0.0174430
0.1913900 -0.0173140
0.2051560 -0.0171480
0.2189510 -0.0169510
0.2327890 -0.0167270
0.2466620 -0.0164790
0.2605840 -0.0162110
0.2745540 -0.0159260
0.2885700 -0.0156270
0.3026260 -0.0153150
0.3167060 -0.0149900
0.3308000 -0.0146570
0.3449160 -0.0143150
0.3590420 -0.0139650
0.3731680 -0.0136100
0.3873100 -0.0132470
0.4014650 -0.0128780
0.4156270 -0.0125040
0.4297710 -0.0121260
0.4438980 -0.0117430
0.4580050 -0.0113570
0.4721010 -0.0109670
0.4861820 -0.0105740
0.5002320 -0.0101780
0.5142740 -0.0097780
0.5282960 -0.0093790
0.5423090 -0.0089760
0.5498680 -0.0087610
0.5594670 -0.0084870
0.5697740 -0.0081950
0.5831980 -0.0078140
0.5963370 -0.0074480
0.6101850 -0.0070680
0.6237410 -0.0067030
0.6372860 -0.0063440
0.6468350 -0.0060990
0.6558280 -0.0058690
0.6643990 -0.0056560
0.6780370 -0.0053170
0.6916770 -0.0049930
0.6972170 -0.0048640
0.6999890 -0.0047990
0.7026210 -0.0047420
0.7069230 -0.0046440
0.7194610 -0.0043680
0.7333370 -0.0040700
0.7472150 -0.0037810
0.7610770 -0.0035010
0.7749400 -0.0032310
0.7888150 -0.0029690
0.8026880 -0.0027190
0.8165850 -0.0024780
0.8304720 -0.0022490
0.8443430 -0.0020300
0.8582140 -0.0018240
0.8720630 -0.0016260
0.8858920 -0.0014410
0.8997310 -0.0012660
0.9135350 -0.0011020
0.9273440 -0.0009480
0.9411340 -0.0008040
0.9549100 -0.0006740
0.9686620 -0.0005510
0.9821620 -0.0004410
0.9940910 -0.0003530
1.0000000 -0.0003110
