AG46c -03f
1.0000900 0.0158480
0.9941420 0.0161690
0.9821050 0.0168800
0.9685150 0.0176920
0.9546240 0.0184940
0.9406960 0.0193040
0.9267660 0.0201150
0.9128370 0.0209170
0.8989060 0.0217070
0.8849780 0.0224820
0.8710470 0.0232400
0.8571230 0.0239820
0.8431980 0.0247030
0.8292760 0.0254110
0.8153530 0.0260960
0.8014270 0.0267640
0.7875060 0.0274120
0.7735840 0.0280430
0.7596610 0.0286530
0.7457390 0.0292420
0.7318160 0.0298080
0.7178900 0.0303520
0.7068320 0.0307640
0.7031360 0.0309040
0.7012880 0.0309710
0.6979190 0.0312630
0.6911800 0.0318530
0.6773000 0.0330490
0.6634220 0.0342170
0.6562780 0.0348060
0.6519650 0.0351670
0.6461480 0.0356300
0.6356660 0.0364670
0.6217870 0.0375460
0.6100350 0.0384350
0.5940410 0.0396100
0.5801990 0.0405890
0.5663650 0.0415330
0.5553620 0.0422590
0.5464550 0.0428290
0.5384760 0.0433290
0.5246360 0.0441650
0.5108000 0.0449610
0.4969390 0.0457210
0.4830620 0.0464400
0.4691920 0.0471160
0.4553350 0.0477480
0.4414700 0.0483380
0.4276100 0.0488800
0.4137550 0.0493760
0.3998940 0.0498210
0.3860370 0.0502150
0.3721870 0.0505540
0.3583410 0.0508390
0.3444950 0.0510650
0.3306580 0.0512290
0.3168300 0.0513280
0.3030060 0.0513590
0.2891970 0.0513170
0.2753980 0.0511970
0.2616050 0.0509960
0.2478310 0.0507070
0.2340780 0.0503250
0.2203390 0.0498440
0.2066290 0.0492570
0.1929500 0.0485560
0.1793000 0.0477320
0.1657030 0.0467750
0.1521520 0.0456730
0.1386670 0.0444130
0.1252620 0.0429790
0.1119480 0.0413490
0.0987660 0.0395020
0.0857350 0.0374020
0.0729160 0.0350100
0.0603600 0.0322690
0.0481940 0.0291140
0.0366160 0.0254980
0.0260160 0.0214330
0.0170950 0.0171480
0.0105360 0.0131420
0.0062380 0.0097840
0.0035240 0.0070580
0.0018200 0.0047940
0.0008060 0.0028610
0.0003200 0.0012110
0.0002490 -0.0001730
0.0005680 -0.0014620
0.0014440 -0.0027740
0.0030380 -0.0040260
0.0054120 -0.0052440
0.0088780 -0.0065180
0.0140990 -0.0079110
0.0219010 -0.0093750
0.0322060 -0.0107010
0.0440720 -0.0117170
0.0567130 -0.0124090
0.0697220 -0.0128380
0.0829490 -0.0130640
0.0963230 -0.0131360
0.1097950 -0.0130860
0.1233420 -0.0129380
0.1369450 -0.0127130
0.1505960 -0.0124250
0.1642770 -0.0120850
0.1779950 -0.0117020
0.1917330 -0.0112850
0.2054990 -0.0108500
0.2192970 -0.0104090
0.2331180 -0.0099640
0.2469580 -0.0095130
0.2608280 -0.0090580
0.2747250 -0.0085980
0.2886480 -0.0081330
0.3025960 -0.0076630
0.3165660 -0.0071900
0.3305500 -0.0067130
0.3445480 -0.0062320
0.3585600 -0.0057470
0.3725790 -0.0052600
0.3866140 -0.0047690
0.4006680 -0.0042760
0.4147310 -0.0037790
0.4287870 -0.0032810
0.4428320 -0.0027810
0.4568630 -0.0022800
0.4708850 -0.0017780
0.4848910 -0.0012750
0.4988810 -0.0007710
0.5128650 -0.0002670
0.5268320 0.0002380
0.5407860 0.0007430
0.5483230 0.0010160
0.5578950 0.0013630
0.5681680 0.0017360
0.5815700 0.0022220
0.5949620 0.0027080
0.6013030 0.0029370
0.6085740 0.0032010
0.6222280 0.0036960
0.6358820 0.0041900
0.6458300 0.0045500
0.6508070 0.0047300
0.6549780 0.0048800
0.6633190 0.0051810
0.6770520 0.0056760
0.6907870 0.0061700
0.6969520 0.0063910
0.7000940 0.0065030
0.7063840 0.0067290
0.7187170 0.0071700
0.7326470 0.0076650
0.7465690 0.0081600
0.7604750 0.0086510
0.7743690 0.0091400
0.7882420 0.0096260
0.8021050 0.0101090
0.8159660 0.0105890
0.8298270 0.0110600
0.8436900 0.0115110
0.8575600 0.0119510
0.8714300 0.0123700
0.8853000 0.0127740
0.8991770 0.0131490
0.9130560 0.0135020
0.9269360 0.0138310
0.9408200 0.0141280
0.9547060 0.0143940
0.9685680 0.0146300
0.9821830 0.0148240
0.9942050 0.0149890
1.0001510 0.0150550
