AH 81-K-144/17
1.0000000 0.0000000
0.9989300 0.0011300
0.9957200 0.0018000
0.9903900 0.0028700
0.9829600 0.0042400
0.9734700 0.0060900
0.9619400 0.0084000
0.9484400 0.0111600
0.9330100 0.0144000
0.9157300 0.0181200
0.8966800 0.0222900
0.8759200 0.0268400
0.8535500 0.0317700
0.8296700 0.0373100
0.8043800 0.0437800
0.7777900 0.0513300
0.7500000 0.0598100
0.7211400 0.0688200
0.6913400 0.0778900
0.6607200 0.0864900
0.6294100 0.0941500
0.5975500 0.1005500
0.5652600 0.1056200
0.5327000 0.1094400
0.5000000 0.1121200
0.4673000 0.1137600
0.4347400 0.1144400
0.4024500 0.1142100
0.3705900 0.1131100
0.3392800 0.1111900
0.3086600 0.1084600
0.2788600 0.1049800
0.2500000 0.1008000
0.2222100 0.0959800
0.1956200 0.0905700
0.1703300 0.0846400
0.1464500 0.0782400
0.1240800 0.0714900
0.1033200 0.0644700
0.0842700 0.0572800
0.0669900 0.0500100
0.0515600 0.0427600
0.0380600 0.0356300
0.0265300 0.0287200
0.0170400 0.0221200
0.0096100 0.0160100
0.0042800 0.0103300
0.0010700 0.0050500
0.0000000 0.0003700
0.0010700 -0.0036800
0.0042800 -0.0071700
0.0096100 -0.0104400
0.0170400 -0.0136800
0.0265300 -0.0167300
0.0380600 -0.0194800
0.0515600 -0.0219400
0.0669900 -0.0241100
0.0842700 -0.0259600
0.1033200 -0.0274900
0.1240800 -0.0287200
0.1464500 -0.0296800
0.1703300 -0.0304300
0.1956200 -0.0309900
0.2222100 -0.0313600
0.2500000 -0.0315600
0.2788600 -0.0316000
0.3086600 -0.0315000
0.3392800 -0.0312700
0.3705900 -0.0309100
0.4024500 -0.0304200
0.4347400 -0.0297900
0.4673000 -0.0290300
0.5000000 -0.0281300
0.5327000 -0.0271200
0.5652600 -0.0259900
0.5975500 -0.0247400
0.6294100 -0.0233600
0.6607200 -0.0218500
0.6913400 -0.0201800
0.7211400 -0.0182900
0.7500000 -0.0161200
0.7777900 -0.0136500
0.8043800 -0.0109200
0.8296700 -0.0081500
0.8535500 -0.0056300
0.8759200 -0.0035600
0.8966800 -0.0020100
0.9157300 -0.0009100
0.9330100 -0.0002200
0.9484400 0.0001200
0.9619400 0.0001700
0.9734700 0.0000100
0.9829600 -0.0002500
0.9903900 -0.0005900
0.9957200 -0.0007800
0.9989300 -0.0008700
1.0000000 0.0000000
