AH 93-W-215
1.0000000 -0.0008700
0.9989300 -0.0003100
0.9957200 0.0014000
0.9903900 0.0039400
0.9829600 0.0071300
0.9734700 0.0104200
0.9619400 0.0137600
0.9484400 0.0173200
0.9330100 0.0211600
0.9157300 0.0252900
0.8966800 0.0297400
0.8759200 0.0345300
0.8535500 0.0397000
0.8296700 0.0452400
0.8043800 0.0511200
0.7777900 0.0573800
0.7500000 0.0640400
0.7211400 0.0710800
0.6913400 0.0784600
0.6607200 0.0861300
0.6294100 0.0939600
0.5975500 0.1017800
0.5652600 0.1093500
0.5327000 0.1164000
0.5000000 0.1226100
0.4673000 0.1277800
0.4347400 0.1317400
0.4024500 0.1344400
0.3705900 0.1358900
0.3392800 0.1361300
0.3086600 0.1352000
0.2788600 0.1331500
0.2500000 0.1300100
0.2222100 0.1258400
0.1956200 0.1206900
0.1703300 0.1146300
0.1464500 0.1077400
0.1240800 0.1001100
0.1033200 0.0918200
0.0842700 0.0829900
0.0669900 0.0737000
0.0515600 0.0640900
0.0380600 0.0542900
0.0265300 0.0444700
0.0170400 0.0347100
0.0096100 0.0252000
0.0042800 0.0161800
0.0010700 0.0078500
0.0000000 0.0000000
0.0010700 -0.0078100
0.0042800 -0.0155600
0.0096100 -0.0231200
0.0170400 -0.0303200
0.0265300 -0.0370600
0.0380600 -0.0432600
0.0515600 -0.0489100
0.0669900 -0.0539900
0.0842700 -0.0585100
0.1033200 -0.0624800
0.1240800 -0.0659100
0.1464500 -0.0688200
0.1703300 -0.0712500
0.1956200 -0.0732100
0.2222100 -0.0747300
0.2500000 -0.0758100
0.2788600 -0.0764100
0.3086600 -0.0765100
0.3392800 -0.0760700
0.3705900 -0.0750400
0.4024500 -0.0734100
0.4347400 -0.0711800
0.4673000 -0.0683900
0.5000000 -0.0650800
0.5327000 -0.0613700
0.5652600 -0.0573400
0.5975500 -0.0530800
0.6294100 -0.0486800
0.6607200 -0.0442000
0.6913400 -0.0396700
0.7211400 -0.0351600
0.7500000 -0.0306900
0.7777900 -0.0263300
0.8043800 -0.0221500
0.8296700 -0.0182300
0.8535500 -0.0146500
0.8759200 -0.0114600
0.8966800 -0.0087100
0.9157300 -0.0064600
0.9330100 -0.0047200
0.9484400 -0.0034500
0.9619400 -0.0026700
0.9734700 -0.0023100
0.9829600 -0.0020300
0.9903900 -0.0018200
0.9957200 -0.0013600
0.9989300 -0.0009800
1.0000000 -0.0008700
