AH 93-W-480B
1.0000000 0.1099000
0.9999100 0.1104700
0.9970200 0.1251900
0.9946700 0.1255000
0.9915600 0.1294400
0.9876100 0.1341800
0.9826900 0.1396300
0.9766300 0.1457100
0.9691400 0.1522600
0.9595100 0.1588900
0.9468700 0.1651000
0.9315400 0.1708900
0.9148400 0.1770000
0.8968300 0.1834500
0.8774600 0.1901600
0.8567100 0.1970700
0.8345800 0.2041400
0.8110800 0.2112800
0.7862100 0.2184500
0.7599600 0.2255600
0.7323400 0.2325400
0.7033700 0.2393000
0.6730600 0.2457700
0.6414200 0.2518600
0.6084800 0.2574600
0.5742400 0.2624600
0.5387200 0.2667100
0.5019500 0.2700400
0.4639800 0.2721700
0.4249800 0.2728000
0.3852200 0.2716200
0.3451700 0.2683200
0.3054800 0.2626900
0.2669700 0.2546800
0.2304400 0.2444300
0.1965500 0.2322800
0.1656700 0.2186400
0.1380200 0.2039100
0.1137200 0.1884900
0.0926400 0.1727400
0.0743500 0.1569200
0.0585900 0.1412600
0.0452300 0.1259200
0.0341500 0.1110700
0.0251600 0.0968200
0.0180500 0.0833000
0.0125700 0.0705800
0.0084700 0.0587400
0.0055300 0.0478500
0.0035100 0.0379600
0.0021500 0.0290700
0.0012300 0.0211200
0.0005800 0.0140300
0.0000000 0.0004200
0.0002500 -0.0083000
0.0003200 -0.0094600
0.0004600 -0.0112900
0.0007200 -0.0140600
0.0011500 -0.0178100
0.0018400 -0.0225900
0.0029000 -0.0283400
0.0044400 -0.0349800
0.0066400 -0.0424500
0.0096500 -0.0507300
0.0136900 -0.0598000
0.0189800 -0.0696300
0.0257400 -0.0801800
0.0342300 -0.0913400
0.0447100 -0.1030300
0.0574400 -0.1151000
0.0727000 -0.1273500
0.0907200 -0.1395300
0.1116300 -0.1513000
0.1353000 -0.1622500
0.1614000 -0.1720500
0.1894800 -0.1805300
0.2190600 -0.1876000
0.2497000 -0.1932900
0.2810400 -0.1976900
0.3127800 -0.2009500
0.3447200 -0.2032400
0.3767200 -0.2047100
0.4086900 -0.2054900
0.4405600 -0.2056800
0.4722600 -0.2053500
0.5037100 -0.2045300
0.5348300 -0.2033100
0.5655700 -0.2017200
0.5958400 -0.1998200
0.6256000 -0.1976600
0.6547700 -0.1952900
0.6833000 -0.1927400
0.7111100 -0.1900600
0.7381600 -0.1872800
0.7643700 -0.1844400
0.7897000 -0.1815800
0.8140800 -0.1787300
0.8374400 -0.1759100
0.8597500 -0.1731600
0.8809200 -0.1705000
0.9009300 -0.1679600
0.9197000 -0.1655500
0.9372800 -0.1633900
0.9531300 -0.1608900
0.9656200 -0.1568100
0.9747300 -0.1518000
0.9816400 -0.1468500
0.9870300 -0.1423200
0.9912500 -0.1383400
0.9945100 -0.1350400
0.9969500 -0.1321500
0.9996600 -0.1244400
1.0000000 -0.1240200
