AH 94-156
1.0000000 0.0003700
0.9913700 0.0018600
0.9793100 0.0042600
0.9632700 0.0077600
0.9450500 0.0118000
0.9261900 0.0161700
0.9072200 0.0207300
0.8882600 0.0254700
0.8693100 0.0303600
0.8503500 0.0354200
0.8313700 0.0406200
0.8123300 0.0459500
0.7932100 0.0513800
0.7740400 0.0568400
0.7549300 0.0622600
0.7359100 0.0675800
0.7169700 0.0727600
0.6981100 0.0777500
0.6793400 0.0825100
0.6606300 0.0870000
0.6419700 0.0911800
0.6233200 0.0950200
0.6046500 0.0985100
0.5859300 0.1016400
0.5671600 0.1044200
0.5483200 0.1068600
0.5294100 0.1089500
0.5104300 0.1107100
0.4913900 0.1121600
0.4723000 0.1132900
0.4531700 0.1141300
0.4340000 0.1146700
0.4148100 0.1149300
0.3956100 0.1149000
0.3764300 0.1146000
0.3572600 0.1140000
0.3381500 0.1131100
0.3191000 0.1119100
0.3001100 0.1104000
0.2812000 0.1085400
0.2623700 0.1063400
0.2436400 0.1037800
0.2250000 0.1008400
0.2064900 0.0975300
0.1881200 0.0938100
0.1699300 0.0896900
0.1519500 0.0851300
0.1342500 0.0801200
0.1168600 0.0746300
0.0998600 0.0686300
0.0833000 0.0620800
0.0673400 0.0550100
0.0522400 0.0474700
0.0384900 0.0396200
0.0267400 0.0318500
0.0175500 0.0247100
0.0109300 0.0185700
0.0063600 0.0134500
0.0032600 0.0091200
0.0012500 0.0053600
0.0001900 0.0019900
0.0000600 -0.0010900
0.0010000 -0.0041700
0.0031900 -0.0071000
0.0066100 -0.0097500
0.0114100 -0.0122900
0.0180600 -0.0149200
0.0273500 -0.0177500
0.0399600 -0.0207600
0.0555800 -0.0237400
0.0730500 -0.0264300
0.0914100 -0.0287600
0.1102300 -0.0307500
0.1293400 -0.0324700
0.1486400 -0.0339500
0.1680700 -0.0352300
0.1875900 -0.0363500
0.2071700 -0.0373200
0.2268100 -0.0381600
0.2464900 -0.0388700
0.2662000 -0.0394700
0.2859300 -0.0399700
0.3056900 -0.0403800
0.3254600 -0.0407000
0.3452400 -0.0409300
0.3650400 -0.0410800
0.3848400 -0.0411500
0.4046500 -0.0411500
0.4244600 -0.0410700
0.4442800 -0.0409100
0.4640900 -0.0406900
0.4839000 -0.0403900
0.5037100 -0.0400100
0.5235200 -0.0395700
0.5433100 -0.0390400
0.5630900 -0.0384400
0.5828600 -0.0377500
0.6026100 -0.0369800
0.6223400 -0.0361100
0.6420400 -0.0351400
0.6617000 -0.0340700
0.6813000 -0.0328700
0.7008400 -0.0315400
0.7202700 -0.0300500
0.7395300 -0.0283700
0.7585400 -0.0264600
0.7771900 -0.0242300
0.7956000 -0.0215200
0.8141900 -0.0182700
0.8332600 -0.0146500
0.8524100 -0.0110200
0.8712500 -0.0076700
0.8897700 -0.0047400
0.9079800 -0.0023400
0.9259100 -0.0005800
0.9436400 0.0004500
0.9612700 0.0007500
0.9778900 0.0006200
0.9910100 0.0004500
1.0000000 0.0003700
