BE50 (original)
1.0000000 0.0026000
0.9500000 0.0127000
0.9000000 0.0227600
0.8000000 0.0395600
0.7000000 0.0531400
0.6000000 0.0648900
0.5500000 0.0699100
0.5000000 0.0740700
0.4500000 0.0778300
0.4000000 0.0799200
0.3500000 0.0809000
0.3000000 0.0812600
0.2500000 0.0808700
0.2000000 0.0783700
0.1500000 0.0730800
0.1000000 0.0640300
0.0750000 0.0572700
0.0500000 0.0483800
0.0250000 0.0363900
0.0150000 0.0301100
0.0100000 0.0260000
0.0000000 0.0127100
0.0100000 0.0040000
0.0150000 0.0027400
0.0250000 0.0015600
0.0500000 0.0000300
0.0750000 0.0000000
0.1000000 0.0005300
0.1500000 0.0029400
0.2000000 0.0057100
0.2500000 0.0081200
0.3000000 0.0104800
0.3500000 0.0131000
0.4000000 0.0161700
0.4500000 0.0184700
0.5000000 0.0202100
0.5500000 0.0213600
0.6000000 0.0212900
0.7000000 0.0193600
0.8000000 0.0149200
0.9000000 0.0085600
0.9500000 0.0047100
1.0000000 0.0000000
