BE50 (smoothed)
1.0000000 0.0012900
0.9975400 0.0017800
0.9907000 0.0031400
0.9803700 0.0051700
0.9669800 0.0077700
0.9504400 0.0109100
0.9306400 0.0145700
0.9077500 0.0186500
0.8820200 0.0230500
0.8537000 0.0276600
0.8230900 0.0323800
0.7904800 0.0371000
0.7561600 0.0417600
0.7204300 0.0462700
0.6835900 0.0505800
0.6459400 0.0546300
0.6077800 0.0583500
0.5693700 0.0617100
0.5309900 0.0646600
0.4926500 0.0671400
0.4543500 0.0691100
0.4163800 0.0705400
0.3788700 0.0714400
0.3420400 0.0718600
0.3060900 0.0718000
0.2712000 0.0711900
0.2376000 0.0699300
0.2054900 0.0679200
0.1750400 0.0650500
0.1464800 0.0612800
0.1199900 0.0566200
0.0957600 0.0511300
0.0739500 0.0449100
0.0546800 0.0381200
0.0381100 0.0309800
0.0243300 0.0237400
0.0133800 0.0166200
0.0054800 0.0098900
0.0009800 0.0038200
0.0000000 -0.0000300
0.0009800 -0.0033200
0.0054800 -0.0069500
0.0133800 -0.0095600
0.0243300 -0.0112700
0.0381100 -0.0122400
0.0546800 -0.0125600
0.0739500 -0.0122900
0.0957600 -0.0115200
0.1199900 -0.0103300
0.1464800 -0.0088200
0.1750400 -0.0070900
0.2054900 -0.0052200
0.2376000 -0.0032300
0.2712000 -0.0011500
0.3060900 0.0010200
0.3420400 0.0033000
0.3788700 0.0056300
0.4163800 0.0079200
0.4543500 0.0100200
0.4926500 0.0117700
0.5309900 0.0131000
0.5693700 0.0139700
0.6077800 0.0144000
0.6459400 0.0144000
0.6835900 0.0140200
0.7204300 0.0133100
0.7561600 0.0123300
0.7904800 0.0111400
0.8230900 0.0098000
0.8537000 0.0083600
0.8820200 0.0068800
0.9077500 0.0054000
0.9306400 0.0039800
0.9504400 0.0026500
0.9669800 0.0014600
0.9803700 0.0004100
0.9907000 -0.0004600
0.9975400 -0.0010700
1.0000000 -0.0013000
