CH10 (smoothed)
1.0000000 0.0000500
0.9975400 0.0016900
0.9907000 0.0057900
0.9803700 0.0111100
0.9669800 0.0172100
0.9504400 0.0245200
0.9306400 0.0331700
0.9077500 0.0429200
0.8820200 0.0536700
0.8537000 0.0652200
0.8230900 0.0772500
0.7904800 0.0894200
0.7561600 0.1014300
0.7204300 0.1129800
0.6835900 0.1238400
0.6459400 0.1337400
0.6077800 0.1424300
0.5693700 0.1497000
0.5309900 0.1553800
0.4926500 0.1594200
0.4543500 0.1617600
0.4163800 0.1624000
0.3788700 0.1613300
0.3420400 0.1586200
0.3060900 0.1543400
0.2712000 0.1485900
0.2376000 0.1414800
0.2054900 0.1331000
0.1750400 0.1235500
0.1464800 0.1129100
0.1199900 0.1013200
0.0957600 0.0889600
0.0739500 0.0761100
0.0546800 0.0631200
0.0381100 0.0503200
0.0243300 0.0379300
0.0133800 0.0261500
0.0054800 0.0153100
0.0009800 0.0058600
0.0000000 0.0001400
0.0009800 -0.0045000
0.0054800 -0.0091400
0.0133800 -0.0117900
0.0243300 -0.0126900
0.0381100 -0.0120900
0.0546800 -0.0102800
0.0739500 -0.0075900
0.0957600 -0.0043500
0.1199900 -0.0007600
0.1464800 0.0032000
0.1750400 0.0074800
0.2054900 0.0120100
0.2376000 0.0166700
0.2712000 0.0213600
0.3060900 0.0259700
0.3420400 0.0304000
0.3788700 0.0345700
0.4163800 0.0383900
0.4543500 0.0417800
0.4926500 0.0446600
0.5309900 0.0469300
0.5693700 0.0485100
0.6077800 0.0493300
0.6459400 0.0493200
0.6835900 0.0484500
0.7204300 0.0467200
0.7561600 0.0442300
0.7904800 0.0410800
0.8230900 0.0373900
0.8537000 0.0332200
0.8820200 0.0286700
0.9077500 0.0238600
0.9306400 0.0189600
0.9504400 0.0141000
0.9669800 0.0093600
0.9803700 0.0051600
0.9907000 0.0021200
0.9975400 0.0004400
1.0000000 -0.0000600
