Curtis C-72
1.0000000 0.0010000
0.9500000 0.0152000
0.9000000 0.0280000
0.8000000 0.0523000
0.7000000 0.0736000
0.6000000 0.0915000
0.5000000 0.1053000
0.4000000 0.1141000
0.3000000 0.1173000
0.2000000 0.1136000
0.1500000 0.1069000
0.1000000 0.0960000
0.0750000 0.0885000
0.0500000 0.0789000
0.0250000 0.0651000
0.0125000 0.0555000
0.0000000 0.0349000
0.0125000 0.0192000
0.0250000 0.0147000
0.0500000 0.0093000
0.0750000 0.0064000
0.1000000 0.0043000
0.1500000 0.0016000
0.2000000 0.0003000
0.3000000 0.0000000
0.4000000 0.0021000
0.5000000 0.0059000
0.6000000 0.0085000
0.7000000 0.0091000
0.8000000 0.0072000
0.9000000 0.0040000
0.9500000 0.0021000
1.0000000 0.0000000
