Dayton-Wright T-1
1.0000000 0.0070000
0.9500000 0.0233000
0.9000000 0.0388000
0.8000000 0.0673000
0.7000000 0.0916000
0.6000000 0.1107000
0.5000000 0.1252000
0.4000000 0.1344000
0.3000000 0.1373000
0.2000000 0.1325000
0.1500000 0.1251000
0.1000000 0.1111000
0.0750000 0.1017000
0.0500000 0.0900000
0.0250000 0.0734000
0.0125000 0.0621000
0.0000000 0.0404000
0.0125000 0.0200000
0.0250000 0.0141000
0.0500000 0.0074000
0.0750000 0.0038000
0.1000000 0.0017000
0.1500000 0.0000000
0.2000000 0.0002000
0.3000000 0.0036000
0.4000000 0.0068000
0.5000000 0.0065000
0.6000000 0.0036000
0.7000000 0.0003000
0.8000000 0.0000000
0.9000000 0.0016000
0.9500000 0.0026000
1.0000000 0.0049000
