DSMA-523B AIRFOIL
1.0000000 0.0003080
0.9800000 0.0068420
0.9600000 0.0126420
0.9500000 0.0177080
0.9200000 0.0221850
0.9000000 0.0261550
0.8800000 0.0296660
0.8600000 0.0327800
0.8400000 0.0355020
0.8200000 0.0379070
0.8000000 0.0400430
0.7800000 0.0419420
0.7600000 0.0436250
0.7400000 0.0451300
0.7200000 0.0464940
0.7000000 0.0477250
0.6800000 0.0488320
0.6600000 0.0498260
0.6400000 0.0507260
0.6200000 0.0515400
0.6000000 0.0522690
0.5800000 0.0529170
0.5600000 0.0534860
0.5400000 0.0539760
0.5200000 0.0543900
0.5000000 0.0547230
0.4800000 0.0549730
0.4600000 0.0551460
0.4400000 0.0552470
0.4200000 0.0552720
0.4000000 0.0552400
0.3800000 0.0551490
0.3600000 0.0549980
0.3400000 0.0547880
0.3200000 0.0545130
0.3000000 0.0541610
0.2800000 0.0537290
0.2600000 0.0531990
0.2400000 0.0525630
0.2200000 0.0518020
0.2000000 0.0509020
0.1800000 0.0498280
0.1600000 0.0485430
0.1400000 0.0470170
0.1200000 0.0451980
0.1000000 0.0429870
0.0800000 0.0403670
0.0600000 0.0374070
0.0400000 0.0334590
0.0300000 0.0307290
0.0200000 0.0269180
0.0150000 0.0242670
0.0125000 0.0226510
0.0100000 0.0207160
0.0075000 0.0184170
0.0050900 0.0153200
0.0025000 0.0110630
0.0010000 0.0070960
0.0005000 0.0050690
0.0000000 0.0000000
0.0005000 -0.0050960
0.0010000 -0.0071280
0.0025000 -0.0110780
0.0050900 -0.0153200
0.0075000 -0.0184170
0.0100000 -0.0206710
0.0125000 -0.0225480
0.0150000 -0.0241350
0.0200000 -0.0267440
0.0300000 -0.0306670
0.0400000 -0.0336070
0.0600000 -0.0370870
0.0800000 -0.0417390
0.1000000 -0.0446480
0.1200000 -0.0467960
0.1400000 -0.0486160
0.1600000 -0.0501140
0.1800000 -0.0513480
0.2000000 -0.0523700
0.2200000 -0.0532070
0.2400000 -0.0538900
0.2600000 -0.0544230
0.2800000 -0.0548080
0.3000000 -0.0550560
0.3200000 -0.0551630
0.3400000 -0.0551370
0.3600000 -0.0549780
0.3800000 -0.0547010
0.4000000 -0.0542830
0.4200000 -0.0537190
0.4400000 -0.0530090
0.4600000 -0.0521430
0.4800000 -0.0511360
0.5000000 -0.0499150
0.5200000 -0.0484830
0.5400000 -0.0467800
0.5600000 -0.0446130
0.5800000 -0.0420060
0.6000000 -0.0388850
0.6200000 -0.0351810
0.6400000 -0.0309400
0.6600000 -0.0263900
0.6800000 -0.0215410
0.7000000 -0.0169580
0.7200000 -0.0126920
0.7400000 -0.0087500
0.7600000 -0.0052000
0.7800000 -0.0020410
0.8000000 0.0006860
0.8200000 0.0029650
0.8400000 0.0047570
0.8600000 0.0060210
0.8800000 0.0066870
0.9000000 0.0066060
0.9200000 0.0056300
0.9500000 0.0035660
0.9600000 0.0003480
0.9800000 -0.0042100
1.0000000 -0.0101090
