E182 (8.47%)
1.0000000 0.0000000
0.9967600 -0.0000300
0.9870900 -0.0000500
0.9710400 0.0001800
0.9488100 0.0009800
0.9208400 0.0026800
0.8878000 0.0054100
0.8503600 0.0091300
0.8091300 0.0137400
0.7647700 0.0191100
0.7179700 0.0251000
0.6694300 0.0314800
0.6198500 0.0379900
0.5699600 0.0442100
0.5201600 0.0496700
0.4708000 0.0540800
0.4221900 0.0572300
0.3746400 0.0590200
0.3283800 0.0593700
0.2836300 0.0584300
0.2408300 0.0564300
0.2004200 0.0534800
0.1628500 0.0496800
0.1285000 0.0451200
0.0977100 0.0398900
0.0707800 0.0340900
0.0479600 0.0278400
0.0294300 0.0212700
0.0152900 0.0145600
0.0056000 0.0080200
0.0004800 0.0021600
0.0009500 -0.0027500
0.0071800 -0.0072700
0.0185200 -0.0115800
0.0349200 -0.0154200
0.0562500 -0.0186600
0.0824100 -0.0212700
0.1131800 -0.0232700
0.1482800 -0.0246800
0.1873500 -0.0255400
0.2300100 -0.0259000
0.2757900 -0.0258200
0.3241900 -0.0253600
0.3746700 -0.0245700
0.4266600 -0.0235100
0.4795600 -0.0222500
0.5327500 -0.0208100
0.5856300 -0.0192400
0.6375800 -0.0175700
0.6880000 -0.0158500
0.7363100 -0.0140900
0.7819500 -0.0123300
0.8243800 -0.0105800
0.8631100 -0.0088800
0.8976900 -0.0072300
0.9276900 -0.0056400
0.9527600 -0.0040700
0.9727200 -0.0024900
0.9875200 -0.0010900
0.9968100 -0.0002500
1.0000000 0.0000000
