E71  (5.15%)
1.0000000 0.0000000
0.9970900 0.0008900
0.9887200 0.0035800
0.9756000 0.0078600
0.9582500 0.0131200
0.9367600 0.0187200
0.9110000 0.0243800
0.8811000 0.0301300
0.8474200 0.0359200
0.8103500 0.0416000
0.7702900 0.0470600
0.7276800 0.0521300
0.6829200 0.0566700
0.6364500 0.0605600
0.5887000 0.0637000
0.5401100 0.0660300
0.4911200 0.0675000
0.4422100 0.0681200
0.3938600 0.0679000
0.3465700 0.0668400
0.3008100 0.0649400
0.2570400 0.0622400
0.2156800 0.0587600
0.1771200 0.0545500
0.1417400 0.0496800
0.1098500 0.0441900
0.0817200 0.0381900
0.0575700 0.0317800
0.0375500 0.0251100
0.0217700 0.0183400
0.0102900 0.0117100
0.0030900 0.0055200
0.0000200 0.0003700
0.0021500 -0.0029400
0.0101100 -0.0049500
0.0234100 -0.0060500
0.0420800 -0.0060400
0.0660600 -0.0050100
0.0952500 -0.0030300
0.1294500 -0.0002700
0.1683600 0.0030900
0.2116100 0.0068300
0.2587100 0.0107400
0.3091200 0.0146300
0.3622200 0.0183100
0.4173600 0.0216000
0.4738200 0.0243800
0.5308700 0.0265100
0.5877600 0.0279000
0.6437300 0.0284800
0.6980000 0.0282300
0.7498300 0.0271400
0.7985000 0.0252600
0.8433000 0.0226400
0.8836000 0.0194000
0.9188000 0.0156400
0.9483300 0.0114900
0.9714700 0.0071300
0.9876300 0.0032900
0.9969700 0.0008200
1.0000000 0.0000000
