E. Bambino
1.0000000 0.0270000
0.9500000 0.0290000
0.9000000 0.0325000
0.8000000 0.0400000
0.7000000 0.0460000
0.6000000 0.0520000
0.5000000 0.0580000
0.4000000 0.0600000
0.3000000 0.0580000
0.2000000 0.0555000
0.1500000 0.0510000
0.1000000 0.0480000
0.0750000 0.0430000
0.0500000 0.0360000
0.0250000 0.0295000
0.0125000 0.0160000
0.0000000 0.0050000
0.0125000 0.0020000
0.0250000 0.0000000
0.0500000 0.0000000
0.0750000 0.0000000
0.1000000 0.0000000
0.1500000 0.0000000
0.2000000 0.0000000
0.3000000 0.0000000
0.4000000 0.0000000
0.5000000 0.0000000
0.6000000 0.0000000
0.7000000 0.0010000
0.8000000 0.0075000
0.9000000 0.0140000
0.9500000 0.0180000
1.0000000 0.0220000
