EH 2.5/10
1.0000000 0.0000000
0.9900000 0.0008400
0.9800000 0.0016900
0.9700000 0.0025600
0.9500000 0.0043200
0.9250000 0.0066300
0.9000000 0.0090500
0.8750000 0.0116100
0.8500000 0.0143000
0.8250000 0.0171200
0.8000000 0.0200500
0.7750000 0.0230600
0.7500000 0.0261300
0.7250000 0.0292600
0.7000000 0.0324500
0.6750000 0.0356800
0.6500000 0.0389400
0.6000000 0.0454800
0.5500000 0.0519000
0.5000000 0.0580400
0.4500000 0.0636500
0.4000000 0.0684700
0.3500000 0.0721600
0.3000000 0.0743000
0.2750000 0.0746500
0.2500000 0.0744200
0.2250000 0.0735300
0.2000000 0.0718900
0.1750000 0.0694000
0.1500000 0.0659200
0.1250000 0.0613000
0.1000000 0.0553400
0.0750000 0.0477300
0.0500000 0.0379500
0.0350000 0.0306400
0.0250000 0.0248600
0.0200000 0.0215800
0.0150000 0.0179700
0.0125000 0.0160200
0.0100000 0.0139600
0.0075000 0.0117100
0.0050000 0.0091600
0.0040000 0.0090100
0.0030000 0.0067600
0.0025000 0.0060900
0.0020000 0.0053800
0.0015000 0.0046100
0.0010000 0.0037300
0.0005000 0.0026300
0.0000000 0.0003200
0.0005000 -0.0018700
0.0010000 -0.0028800
0.0015000 -0.0036500
0.0020000 -0.0043000
0.0025000 -0.0048700
0.0030000 -0.0053800
0.0040000 -0.0062400
0.0050000 -0.0069600
0.0075000 -0.0083500
0.0100000 -0.0093900
0.0125000 -0.0103000
0.0150000 -0.0111500
0.0200000 -0.0126500
0.0250000 -0.0139100
0.0350000 -0.0158000
0.0500000 -0.0176900
0.0750000 -0.0196900
0.1000000 -0.0208900
0.1250000 -0.0217300
0.1500000 -0.0224100
0.1750000 -0.0230000
0.2000000 -0.0235400
0.2250000 -0.0240500
0.2500000 -0.0245600
0.2750000 -0.0251000
0.3000000 -0.0256400
0.3500000 -0.0267000
0.4000000 -0.0276000
0.4500000 -0.0282300
0.5000000 -0.0284600
0.5500000 -0.0281700
0.6000000 -0.0272700
0.6500000 -0.0257100
0.6750000 -0.0246800
0.7000000 -0.0234800
0.7200000 -0.0221200
0.7500000 -0.0205800
0.7750000 -0.0188800
0.8000000 -0.0170200
0.8250000 -0.0150300
0.8500000 -0.0129700
0.8750000 -0.0108700
0.9000000 -0.0087400
0.9250000 -0.0065800
0.9500000 -0.0044000
0.9700000 -0.0026400
0.9800000 -0.0017600
0.9900000 -0.0008800
1.0000000 0.0000000
