FX 69-274
1.0000000 0.0000000
0.9989300 0.0074300
0.9957200 0.0080800
0.9903900 0.0092900
0.9829600 0.0110700
0.9734700 0.0134300
0.9619400 0.0163800
0.9484400 0.0200000
0.9330100 0.0244100
0.9157300 0.0295700
0.8966800 0.0355000
0.8759200 0.0421400
0.8535500 0.0494300
0.8296700 0.0574300
0.8043800 0.0660000
0.7777900 0.0750000
0.7500000 0.0842900
0.7211400 0.0937100
0.6913400 0.1032900
0.6607200 0.1127100
0.6294100 0.1218600
0.5975500 0.1305700
0.5652600 0.1388600
0.5327000 0.1462900
0.5000000 0.1530000
0.4673000 0.1585700
0.4347400 0.1631400
0.4024500 0.1664300
0.3705900 0.1682900
0.3392800 0.1687100
0.3086600 0.1678600
0.2788600 0.1652900
0.2500000 0.1614300
0.2222100 0.1561400
0.1956200 0.1494300
0.1703300 0.1415700
0.1464500 0.1327100
0.1240800 0.1228600
0.1033200 0.1122900
0.0842700 0.1012900
0.0669900 0.0897100
0.0515600 0.0780000
0.0380600 0.0661400
0.0265300 0.0544300
0.0170400 0.0428600
0.0096100 0.0315700
0.0042800 0.0207100
0.0010700 0.0104300
0.0000000 0.0000000
0.0010700 -0.0094200
0.0042800 -0.0184300
0.0096100 -0.0271400
0.0170400 -0.0354300
0.0265300 -0.0435700
0.0380600 -0.0511400
0.0515600 -0.0585700
0.0669900 -0.0655700
0.0842700 -0.0721400
0.1033200 -0.0782900
0.1240800 -0.0838600
0.1464500 -0.0890000
0.1703300 -0.0935700
0.1956200 -0.0974200
0.2222100 -0.1005700
0.2500000 -0.1030000
0.2788600 -0.1045700
0.3086600 -0.1054300
0.3392800 -0.1054300
0.3705900 -0.1045700
0.4024500 -0.1030000
0.4347400 -0.1007100
0.4673000 -0.0978600
0.5000000 -0.0942900
0.5327000 -0.0900000
0.5652600 -0.0854300
0.5975500 -0.0802900
0.6294100 -0.0748600
0.6607200 -0.0691400
0.6913400 -0.0632900
0.7211400 -0.0572900
0.7500000 -0.0512900
0.7777900 -0.0454300
0.8043800 -0.0397100
0.8296700 -0.0342900
0.8535500 -0.0294300
0.8759200 -0.0248600
0.8966800 -0.0207000
0.9157300 -0.0175700
0.9330100 -0.0147500
0.9484400 -0.0124300
0.9619400 -0.0105600
0.9734700 -0.0091400
0.9829600 -0.0081900
0.9903900 -0.0075700
0.9957200 -0.0071100
0.9989300 -0.0068600
1.0000000 0.0000000
