FX 69-PR-281
1.0000000 0.0000000
0.9989300 0.0008600
0.9957200 0.0029100
0.9903900 0.0057100
0.9829600 0.0093000
0.9734700 0.0135700
0.9619400 0.0184200
0.9484400 0.0238600
0.9330100 0.0299000
0.9157300 0.0364300
0.8966800 0.0432000
0.8759200 0.0507100
0.8535500 0.0585700
0.8296700 0.0667100
0.8043800 0.0752900
0.7777900 0.0841400
0.7500000 0.0931400
0.7211400 0.1021400
0.6913400 0.1111400
0.6607200 0.1200000
0.6294100 0.1288600
0.5975500 0.1372900
0.5652600 0.1452900
0.5327000 0.1528600
0.5000000 0.1598600
0.4673000 0.1661400
0.4347400 0.1718600
0.4024500 0.1765700
0.3705900 0.1802900
0.3392800 0.1828600
0.3086600 0.1845700
0.2788600 0.1851400
0.2500000 0.1845700
0.2222100 0.1828600
0.1956200 0.1795700
0.1703300 0.1748600
0.1464500 0.1687100
0.1240800 0.1610000
0.1033200 0.1518600
0.0842700 0.1412900
0.0669900 0.1292900
0.0515600 0.1160000
0.0380600 0.1018600
0.0265300 0.0870000
0.0170400 0.0715700
0.0096100 0.0557100
0.0042800 0.0388600
0.0010700 0.0204300
0.0000000 0.0000000
0.0010700 -0.0160000
0.0042800 -0.0300000
0.0096100 -0.0424300
0.0170400 -0.0537100
0.0265300 -0.0640000
0.0380600 -0.0730000
0.0515600 -0.0808600
0.0669900 -0.0875700
0.0842700 -0.0932900
0.1033200 -0.0977100
0.1240800 -0.1007100
0.1464500 -0.1022900
0.1703300 -0.1024300
0.1956200 -0.1010000
0.2222100 -0.0984300
0.2500000 -0.0948600
0.2788600 -0.0905700
0.3086600 -0.0855700
0.3392800 -0.0800000
0.3705900 -0.0738600
0.4024500 -0.0675700
0.4347400 -0.0610000
0.4673000 -0.0542900
0.5000000 -0.0475700
0.5327000 -0.0411400
0.5652600 -0.0348600
0.5975500 -0.0288600
0.6294100 -0.0231400
0.6607200 -0.0178600
0.6913400 -0.0131400
0.7211400 -0.0087100
0.7500000 -0.0048600
0.7777900 -0.0015700
0.8043800 0.0011400
0.8296700 0.0032900
0.8535500 0.0050000
0.8759200 0.0061400
0.8966800 0.0072000
0.9157300 0.0072900
0.9330100 0.0071700
0.9484400 0.0067100
0.9619400 0.0060400
0.9734700 0.0051400
0.9829600 0.0039600
0.9903900 0.0027100
0.9957200 0.0016000
0.9989300 0.0005700
1.0000000 0.0000000
