FX 77-W-270S
1.0000000 0.0124000
0.9989300 0.0127700
0.9957200 0.0137800
0.9903900 0.0152500
0.9829600 0.0172500
0.9734700 0.0198000
0.9619400 0.0229000
0.9484400 0.0265000
0.9330100 0.0306000
0.9157300 0.0352000
0.8966800 0.0402200
0.8759200 0.0456200
0.8535500 0.0514700
0.8296700 0.0577100
0.8043800 0.0642800
0.7777900 0.0710700
0.7500000 0.0781000
0.7211400 0.0854200
0.6913400 0.0931000
0.6607200 0.1010400
0.6294100 0.1092700
0.5975500 0.1176000
0.5652600 0.1260000
0.5327000 0.1345300
0.5000000 0.1429900
0.4673000 0.1513400
0.4347400 0.1593300
0.4024500 0.1667800
0.3705900 0.1729900
0.3392800 0.1768300
0.3086600 0.1781000
0.2788600 0.1771500
0.2500000 0.1741800
0.2222100 0.1693100
0.1956200 0.1628100
0.1703300 0.1548900
0.1464500 0.1457600
0.1240800 0.1355600
0.1033200 0.1244200
0.0842700 0.1126100
0.0669900 0.1002600
0.0515600 0.0877300
0.0380600 0.0750400
0.0265300 0.0626100
0.0170400 0.0503400
0.0096100 0.0389700
0.0042800 0.0272800
0.0010700 0.0175400
0.0000000 0.0000000
0.0010700 -0.0127500
0.0042800 -0.0177100
0.0096100 -0.0253800
0.0170400 -0.0316100
0.0265300 -0.0373900
0.0380600 -0.0431600
0.0515600 -0.0488700
0.0669900 -0.0542900
0.0842700 -0.0594000
0.1033200 -0.0643700
0.1240800 -0.0691100
0.1464500 -0.0735900
0.1703300 -0.0777300
0.1956200 -0.0815400
0.2222100 -0.0849700
0.2500000 -0.0880700
0.2788600 -0.0907000
0.3086600 -0.0927500
0.3392800 -0.0942900
0.3705900 -0.0953500
0.4024500 -0.0957400
0.4347400 -0.0954500
0.4673000 -0.0943200
0.5000000 -0.0924600
0.5327000 -0.0895400
0.5652600 -0.0852900
0.5975500 -0.0794700
0.6294100 -0.0722700
0.6607200 -0.0648100
0.6913400 -0.0574600
0.7211400 -0.0509000
0.7500000 -0.0450400
0.7777900 -0.0399000
0.8043800 -0.0353000
0.8296700 -0.0313000
0.8535500 -0.0277000
0.8759200 -0.0243700
0.8966800 -0.0211500
0.9157300 -0.0180000
0.9330100 -0.0149800
0.9484400 -0.0123000
0.9619400 -0.0100100
0.9734700 -0.0081200
0.9829600 -0.0065800
0.9903900 -0.0054600
0.9957200 -0.0046900
0.9989300 -0.0042600
1.0000000 -0.0041200
