FX 79-W-660A
1.0000000 0.0423700
0.9989300 0.0467500
0.9957200 0.0651100
0.9903900 0.0956800
0.9829600 0.1216500
0.9734700 0.1451500
0.9619400 0.1717700
0.9484400 0.1991600
0.9330100 0.2179000
0.9157300 0.2251400
0.8966800 0.2295700
0.8759200 0.2348500
0.8535500 0.2421700
0.8296700 0.2499800
0.8043800 0.2580700
0.7777900 0.2665700
0.7500000 0.2753900
0.7211400 0.2845800
0.6913400 0.2948500
0.6607200 0.3053800
0.6294100 0.3156400
0.5975500 0.3246600
0.5652600 0.3318100
0.5327000 0.3376100
0.5000000 0.3420500
0.4673000 0.3449300
0.4347400 0.3460200
0.4024500 0.3452300
0.3705900 0.3430400
0.3392800 0.3396100
0.3086600 0.3347700
0.2788600 0.3275500
0.2500000 0.3178800
0.2222100 0.3057700
0.1956200 0.2919200
0.1703300 0.2762900
0.1464500 0.2591000
0.1240800 0.2403600
0.1033200 0.2198600
0.0842700 0.1984800
0.0669900 0.1766600
0.0515600 0.1545600
0.0380600 0.1326000
0.0265300 0.1101300
0.0170400 0.0858900
0.0096100 0.0630200
0.0042800 0.0401300
0.0010700 0.0128900
0.0000000 0.0000000
0.0010700 -0.0100000
0.0042800 -0.0315900
0.0096100 -0.0500900
0.0170400 -0.0674800
0.0265300 -0.0861800
0.0380600 -0.1039300
0.0515600 -0.1220400
0.0669900 -0.1404300
0.0842700 -0.1588700
0.1033200 -0.1773100
0.1240800 -0.1956900
0.1464500 -0.2132200
0.1703300 -0.2299300
0.1956200 -0.2456400
0.2222100 -0.2599100
0.2500000 -0.2726800
0.2788600 -0.2839200
0.3086600 -0.2937600
0.3392800 -0.3021700
0.3705900 -0.3091200
0.4024500 -0.3145100
0.4347400 -0.3178500
0.4673000 -0.3189600
0.5000000 -0.3182000
0.5327000 -0.3155700
0.5652600 -0.3110600
0.5975500 -0.3046200
0.6294100 -0.2968200
0.6607200 -0.2881800
0.6913400 -0.2782300
0.7211400 -0.2681100
0.7500000 -0.2587000
0.7777900 -0.2498600
0.8043800 -0.2418600
0.8296700 -0.2350200
0.8535500 -0.2290200
0.8759200 -0.2235500
0.8966800 -0.2185600
0.9157300 -0.2140000
0.9330100 -0.2102300
0.9484400 -0.2031100
0.9619400 -0.1802300
0.9734700 -0.1485000
0.9829600 -0.1191600
0.9903900 -0.0894600
0.9957200 -0.0629600
0.9989300 -0.0472800
1.0000000 -0.0423900
