FX 84-W-150
1.0000000 0.0000000
0.9989300 0.0001400
0.9957200 0.0006200
0.9903900 0.0015000
0.9829600 0.0028500
0.9734700 0.0047500
0.9619400 0.0072400
0.9484400 0.0103600
0.9330100 0.0141100
0.9157300 0.0185000
0.8966800 0.0235100
0.8759200 0.0291000
0.8535500 0.0352200
0.8296700 0.0417800
0.8043800 0.0487000
0.7777900 0.0558500
0.7500000 0.0631500
0.7211400 0.0704400
0.6913400 0.0775900
0.6607200 0.0845000
0.6294100 0.0910000
0.5975500 0.0970000
0.5652600 0.1024100
0.5327000 0.1070700
0.5000000 0.1109600
0.4673000 0.1140000
0.4347400 0.1160800
0.4024500 0.1172500
0.3705900 0.1174500
0.3392800 0.1166500
0.3086600 0.1149400
0.2788600 0.1122600
0.2500000 0.1087200
0.2222100 0.1043900
0.1956200 0.0992900
0.1703300 0.0936000
0.1464500 0.0873500
0.1240800 0.0805800
0.1033200 0.0733900
0.0842700 0.0659000
0.0669900 0.0582300
0.0515600 0.0504900
0.0380600 0.0427700
0.0265300 0.0351600
0.0170400 0.0277500
0.0096100 0.0206400
0.0042800 0.0137900
0.0010700 0.0072900
0.0000000 0.0013100
0.0010700 -0.0041300
0.0042800 -0.0090000
0.0096100 -0.0134300
0.0170400 -0.0174300
0.0265300 -0.0209000
0.0380600 -0.0238900
0.0515600 -0.0264300
0.0669900 -0.0285500
0.0842700 -0.0302800
0.1033200 -0.0316500
0.1240800 -0.0327100
0.1464500 -0.0334800
0.1703300 -0.0340000
0.1956200 -0.0342900
0.2222100 -0.0343900
0.2500000 -0.0343200
0.2788600 -0.0340900
0.3086600 -0.0337000
0.3392800 -0.0331500
0.3705900 -0.0324400
0.4024500 -0.0315600
0.4347400 -0.0305100
0.4673000 -0.0292900
0.5000000 -0.0278800
0.5327000 -0.0262900
0.5652600 -0.0245200
0.5975500 -0.0225800
0.6294100 -0.0204900
0.6607200 -0.0182800
0.6913400 -0.0159800
0.7211400 -0.0136600
0.7500000 -0.0113500
0.7777900 -0.0091000
0.8043800 -0.0069800
0.8296700 -0.0050200
0.8535500 -0.0032900
0.8759200 -0.0018100
0.8966800 -0.0006100
0.9157300 0.0002900
0.9330100 0.0009100
0.9484400 0.0012600
0.9619400 0.0013600
0.9734700 0.0012500
0.9829600 0.0010100
0.9903900 0.0006800
0.9957200 0.0003400
0.9989300 0.0001000
1.0000000 0.0000000
