GEMINI (smoothed)
1.0000000 0.0001400
0.9975400 0.0015100
0.9907000 0.0041900
0.9803700 0.0062300
0.9669800 0.0091900
0.9504400 0.0130000
0.9306400 0.0172000
0.9077500 0.0221300
0.8820200 0.0275700
0.8537000 0.0333500
0.8230900 0.0394400
0.7904800 0.0458100
0.7561600 0.0523600
0.7204300 0.0589300
0.6835900 0.0653900
0.6459400 0.0716100
0.6077800 0.0774500
0.5693700 0.0827800
0.5309900 0.0874500
0.4926500 0.0913800
0.4543500 0.0945500
0.4163800 0.0968900
0.3788700 0.0983500
0.3420400 0.0988600
0.3060900 0.0983200
0.2712000 0.0966600
0.2376000 0.0938300
0.2054900 0.0898200
0.1750400 0.0846900
0.1464800 0.0785100
0.1199900 0.0713700
0.0957600 0.0633400
0.0739500 0.0545300
0.0546800 0.0452300
0.0381100 0.0361000
0.0243300 0.0276400
0.0133800 0.0197500
0.0054800 0.0121200
0.0009800 0.0049700
0.0000000 0.0000100
0.0009800 -0.0049300
0.0054800 -0.0116400
0.0133800 -0.0178400
0.0243300 -0.0232900
0.0381100 -0.0282600
0.0546800 -0.0328800
0.0739500 -0.0372400
0.0957600 -0.0413600
0.1199900 -0.0451200
0.1464800 -0.0482500
0.1750400 -0.0506700
0.2054900 -0.0524600
0.2376000 -0.0537600
0.2712000 -0.0546100
0.3060900 -0.0550100
0.3420400 -0.0549300
0.3788700 -0.0543300
0.4163800 -0.0532300
0.4543500 -0.0516200
0.4926500 -0.0495500
0.5309900 -0.0470900
0.5693700 -0.0443000
0.6077800 -0.0412400
0.6459400 -0.0379800
0.6835900 -0.0346100
0.7204300 -0.0312100
0.7561600 -0.0278200
0.7904800 -0.0244600
0.8230900 -0.0211800
0.8537000 -0.0180200
0.8820200 -0.0150600
0.9077500 -0.0123300
0.9306400 -0.0098700
0.9504400 -0.0077800
0.9669800 -0.0063800
0.9803700 -0.0052200
0.9907000 -0.0034400
0.9975400 -0.0011700
1.0000000 -0.0000100
