GM15 (smoothed)
1.0000000 0.0000600
0.9975400 0.0011400
0.9907000 0.0035600
0.9803700 0.0061600
0.9669800 0.0086500
0.9504400 0.0114900
0.9306400 0.0151600
0.9077500 0.0196900
0.8820200 0.0247400
0.8537000 0.0300100
0.8230900 0.0352400
0.7904800 0.0403000
0.7561600 0.0451100
0.7204300 0.0496300
0.6835900 0.0538600
0.6459400 0.0577900
0.6077800 0.0614000
0.5693700 0.0646700
0.5309900 0.0675100
0.4926500 0.0698800
0.4543500 0.0717200
0.4163800 0.0729500
0.3788700 0.0735200
0.3420400 0.0733900
0.3060900 0.0725500
0.2712000 0.0709700
0.2376000 0.0686600
0.2054900 0.0656100
0.1750400 0.0618200
0.1464800 0.0573100
0.1199900 0.0521000
0.0957600 0.0462900
0.0739500 0.0400300
0.0546800 0.0335400
0.0381100 0.0269800
0.0243300 0.0205200
0.0133800 0.0143300
0.0054800 0.0085200
0.0009800 0.0032200
0.0000000 -0.0001900
0.0009800 -0.0031200
0.0054800 -0.0063400
0.0133800 -0.0086800
0.0243300 -0.0103600
0.0381100 -0.0115000
0.0546800 -0.0121000
0.0739500 -0.0120700
0.0957600 -0.0113600
0.1199900 -0.0099600
0.1464800 -0.0078500
0.1750400 -0.0051000
0.2054900 -0.0017900
0.2376000 0.0019100
0.2712000 0.0058600
0.3060900 0.0098800
0.3420400 0.0137900
0.3788700 0.0174100
0.4163800 0.0206000
0.4543500 0.0232400
0.4926500 0.0252600
0.5309900 0.0266100
0.5693700 0.0273200
0.6077800 0.0274000
0.6459400 0.0269200
0.6835900 0.0259400
0.7204300 0.0245600
0.7561600 0.0228700
0.7904800 0.0208800
0.8230900 0.0185800
0.8537000 0.0159800
0.8820200 0.0131700
0.9077500 0.0103300
0.9306400 0.0076500
0.9504400 0.0052800
0.9669800 0.0033200
0.9803700 0.0017900
0.9907000 0.0007500
0.9975400 0.0001700
1.0000000 -0.0000100
