LWK 80-100
1.0000000 0.0000000
0.9989300 0.0008000
0.9957200 0.0011000
0.9903900 0.0016100
0.9829600 0.0022100
0.9734700 0.0029900
0.9619400 0.0039200
0.9484400 0.0050500
0.9330100 0.0064100
0.9157300 0.0080400
0.8966800 0.0099900
0.8759200 0.0122700
0.8535500 0.0149100
0.8296700 0.0179200
0.8043800 0.0212900
0.7777900 0.0249100
0.7500000 0.0286500
0.7211400 0.0323800
0.6913400 0.0359600
0.6607200 0.0392800
0.6294100 0.0422100
0.5975500 0.0446600
0.5652600 0.0466200
0.5327000 0.0481100
0.5000000 0.0491800
0.4673000 0.0498800
0.4347400 0.0502500
0.4024500 0.0503100
0.3705900 0.0500700
0.3392800 0.0495600
0.3086600 0.0487700
0.2788600 0.0477300
0.2500000 0.0464500
0.2222100 0.0449200
0.1956200 0.0431700
0.1703300 0.0412100
0.1464500 0.0390400
0.1240800 0.0366900
0.1033200 0.0341500
0.0842700 0.0314400
0.0669900 0.0285700
0.0515600 0.0255300
0.0380600 0.0223000
0.0265300 0.0188400
0.0170400 0.0151700
0.0096100 0.0113600
0.0042800 0.0074700
0.0010700 0.0037000
0.0000000 0.0000100
0.0010700 -0.0037000
0.0042800 -0.0075000
0.0096100 -0.0113900
0.0170400 -0.0152100
0.0265300 -0.0188500
0.0380600 -0.0222900
0.0515600 -0.0255300
0.0669900 -0.0285700
0.0842700 -0.0314400
0.1033200 -0.0341500
0.1240800 -0.0366900
0.1464500 -0.0390400
0.1703300 -0.0412100
0.1956200 -0.0431700
0.2222100 -0.0449200
0.2500000 -0.0464500
0.2788600 -0.0477300
0.3086600 -0.0487700
0.3392800 -0.0495600
0.3705900 -0.0500700
0.4024500 -0.0503100
0.4347400 -0.0502500
0.4673000 -0.0498800
0.5000000 -0.0491800
0.5327000 -0.0481100
0.5652600 -0.0466200
0.5975500 -0.0446600
0.6294100 -0.0422100
0.6607200 -0.0392800
0.6913400 -0.0359600
0.7211400 -0.0323800
0.7500000 -0.0286500
0.7777900 -0.0249100
0.8043800 -0.0212900
0.8296700 -0.0179200
0.8535500 -0.0149100
0.8759200 -0.0122700
0.8966800 -0.0099900
0.9157300 -0.0080400
0.9330100 -0.0064100
0.9484400 -0.0050500
0.9619400 -0.0039200
0.9734700 -0.0029900
0.9829600 -0.0022100
0.9903900 -0.0016100
0.9957200 -0.0011000
0.9989300 -0.0008000
1.0000000 0.0000000
