MA409 (original)
1.0000000 0.0007000
0.9500000 0.0124600
0.9000000 0.0230800
0.8000000 0.0401500
0.7000000 0.0523600
0.6500000 0.0615400
0.5500000 0.0654300
0.5000000 0.0694500
0.4500000 0.0718600
0.4000000 0.0739100
0.3500000 0.0743400
0.3000000 0.0739800
0.2500000 0.0730200
0.2000000 0.0692500
0.1500000 0.0642100
0.1000000 0.0567300
0.0750000 0.0513200
0.0500000 0.0447900
0.0250000 0.0350000
0.0125000 0.0283100
0.0000000 0.0174900
0.0125000 0.0087800
0.0250000 0.0043700
0.0500000 0.0008200
0.0750000 0.0002200
0.1000000 0.0000000
0.1500000 0.0012200
0.2000000 0.0028000
0.2500000 0.0051400
0.3000000 0.0078900
0.3500000 0.0103100
0.4000000 0.0122900
0.4500000 0.0142400
0.5000000 0.0149900
0.5500000 0.0152500
0.6000000 0.0153600
0.7000000 0.0138400
0.8000000 0.0110700
0.9000000 0.0070400
0.9500000 0.0035500
1.0000000 0.0000000
