MA409 (smoothed)
1.0000000 0.0003400
0.9975400 0.0009400
0.9907000 0.0025900
0.9803700 0.0049800
0.9669800 0.0079300
0.9504400 0.0113600
0.9306400 0.0152100
0.9077500 0.0193700
0.8820200 0.0237300
0.8537000 0.0281700
0.8230900 0.0326100
0.7904800 0.0369400
0.7561600 0.0411200
0.7204300 0.0450500
0.6835900 0.0486900
0.6459400 0.0519800
0.6077800 0.0548600
0.5693700 0.0573200
0.5309900 0.0593300
0.4926500 0.0608900
0.4543500 0.0620200
0.4163800 0.0627000
0.3788700 0.0629100
0.3420400 0.0626000
0.3060900 0.0617200
0.2712000 0.0602500
0.2376000 0.0581900
0.2054900 0.0555500
0.1750400 0.0523400
0.1464800 0.0485900
0.1199900 0.0443300
0.0957600 0.0396100
0.0739500 0.0345000
0.0546800 0.0291300
0.0381100 0.0236900
0.0243300 0.0183100
0.0133800 0.0130500
0.0054800 0.0079700
0.0009800 0.0031800
0.0000000 -0.0000400
0.0009800 -0.0030200
0.0054800 -0.0066400
0.0133800 -0.0096800
0.0243300 -0.0121300
0.0381100 -0.0140000
0.0546800 -0.0152700
0.0739500 -0.0159000
0.0957600 -0.0158900
0.1199900 -0.0152700
0.1464800 -0.0141600
0.1750400 -0.0126400
0.2054900 -0.0108100
0.2376000 -0.0087500
0.2712000 -0.0065300
0.3060900 -0.0042100
0.3420400 -0.0018600
0.3788700 0.0003900
0.4163800 0.0024500
0.4543500 0.0042200
0.4926500 0.0056500
0.5309900 0.0067400
0.5693700 0.0075400
0.6077800 0.0080800
0.6459400 0.0083700
0.6835900 0.0084400
0.7204300 0.0083000
0.7561600 0.0079800
0.7904800 0.0074900
0.8230900 0.0068700
0.8537000 0.0061300
0.8820200 0.0052900
0.9077500 0.0043900
0.9306400 0.0034700
0.9504400 0.0025600
0.9669800 0.0017000
0.9803700 0.0009300
0.9907000 0.0002800
0.9975400 -0.0001800
1.0000000 -0.0003600
