MILEY M06-13-128
1.0000000 0.0000000
0.9989600 0.0001500
0.9915200 0.0008800
0.9775600 0.0019800
0.9571800 0.0037000
0.9306800 0.0063100
0.8984900 0.0100200
0.8611200 0.0149900
0.8192300 0.0213900
0.7735400 0.0293000
0.7249300 0.0387800
0.6743400 0.0498000
0.6228800 0.0622500
0.5718000 0.0758400
0.5226500 0.0900200
0.4775600 0.1030900
0.4351000 0.1109400
0.3926300 0.1148900
0.3503200 0.1161700
0.3087300 0.1153100
0.2683800 0.1125600
0.2297500 0.1081400
0.1932800 0.1022000
0.1594200 0.0948700
0.1285700 0.0860500
0.1005700 0.0758300
0.0755800 0.0646000
0.0538200 0.0530500
0.0355100 0.0412200
0.0208300 0.0296000
0.0099400 0.0186200
0.0029600 0.0087800
0.0009800 0.0045200
0.0000500 0.0008700
0.0003000 -0.0018300
0.0023300 -0.0037200
0.0120300 -0.0066900
0.0280300 -0.0090100
0.0498700 -0.0107700
0.0771800 -0.0120300
0.1095900 -0.0128700
0.1466700 -0.0133300
0.1879600 -0.0134900
0.2329600 -0.0133900
0.2811100 -0.0130800
0.3318500 -0.0126000
0.3845600 -0.0120000
0.4386200 -0.0112900
0.4933800 -0.0105300
0.5482000 -0.0097200
0.6024200 -0.0089000
0.6554100 -0.0080900
0.7065200 -0.0072900
0.7551600 -0.0065200
0.8007300 -0.0057700
0.8426900 -0.0050600
0.8805300 -0.0043700
0.9137900 -0.0037000
0.9420500 -0.0030200
0.9649600 -0.0022800
0.9823200 -0.0014700
0.9939300 -0.0007300
0.9994200 -0.0001400
1.0000000 0.0000000
