NACA-1 COWL
1.0000000 1.0000000
0.9800000 0.9998000
0.9600000 0.9993000
0.9400000 0.9985000
0.9200000 0.9965000
0.9000000 0.9940000
0.8800000 0.9909000
0.8600000 0.9874000
0.8400000 0.9833000
0.8200000 0.9787000
0.8000000 0.9735000
0.7800000 0.9679000
0.7600000 0.9616000
0.7400000 0.9548000
0.7200000 0.9475000
0.7000000 0.9395000
0.6800000 0.9311000
0.6600000 0.9220000
0.6400000 0.9123000
0.6200000 0.9020000
0.6000000 0.8911000
0.5800000 0.8795000
0.5600000 0.8673000
0.5400000 0.8545000
0.5200000 0.8410000
0.5000000 0.8269000
0.4900000 0.8199000
0.4800000 0.8125000
0.4700000 0.8050000
0.4600000 0.7974000
0.4500000 0.7895000
0.4400000 0.7815000
0.4300000 0.7732000
0.4200000 0.7648000
0.4100000 0.7563000
0.4000000 0.7475000
0.3900000 0.7385000
0.3800000 0.7294000
0.3700000 0.7200000
0.3600000 0.7105000
0.3500000 0.7008000
0.3400000 0.6908000
0.3300000 0.6807000
0.3200000 0.6703000
0.3100000 0.6597000
0.3000000 0.6489000
0.2900000 0.6379000
0.2800000 0.6267000
0.2700000 0.6152000
0.2600000 0.6035000
0.2500000 0.5915000
0.2400000 0.5792000
0.2300000 0.5666000
0.2200000 0.5537000
0.2100000 0.5405000
0.2000000 0.5270000
0.1900000 0.5131000
0.1800000 0.4988000
0.1700000 0.4840000
0.1600000 0.4688000
0.1500000 0.4530000
0.1400000 0.4366000
0.1300000 0.4194000
0.1200000 0.4009000
0.1100000 0.3815000
0.1000000 0.3613000
0.0900000 0.3403000
0.0800000 0.3181000
0.0700000 0.2947000
0.0600000 0.2701000
0.0500000 0.2436000
0.0450000 0.2296000
0.0400000 0.2148000
0.0350000 0.1994000
0.0300000 0.1831000
0.0250000 0.1657000
0.0200000 0.1472000
0.0150000 0.1272000
0.0100000 0.1038000
0.0080000 0.0933000
0.0060000 0.0812000
0.0040000 0.0663000
0.0020000 0.0480000
0.0000000 0.0000000
