NACA 65(3)-618
1.0000000 0.0000000
0.9506800 0.0143300
0.9013800 0.0286300
0.8518900 0.0430600
0.8022000 0.0571900
0.7523000 0.0707500
0.7021900 0.0833800
0.6518900 0.0948200
0.6014100 0.1047900
0.5507700 0.1129300
0.5000000 0.1187700
0.4491500 0.1218600
0.3982600 0.1221000
0.3473800 0.1197200
0.2965200 0.1150400
0.2457400 0.1080300
0.1950600 0.0984800
0.1445500 0.0860200
0.0943100 0.0697800
0.0693600 0.0597100
0.0446200 0.0477600
0.0202600 0.0326800
0.0083900 0.0229300
0.0038500 0.0177600
0.0017200 0.0144600
0.0000000 0.0000000
0.0082800 -0.0114600
0.0111500 -0.0135600
0.0166100 -0.0165100
0.0297400 -0.0215200
0.0553800 -0.0288000
0.0806400 -0.0342700
0.1056900 -0.0387600
0.1554500 -0.0456400
0.2049400 -0.0507200
0.2542600 -0.0543300
0.3034800 -0.0567200
0.3526200 -0.0579200
0.4017400 -0.0578400
0.4508500 -0.0561600
0.5000000 -0.0525900
0.5492300 -0.0472300
0.5985900 -0.0405300
0.6481100 -0.0330200
0.6978100 -0.0250600
0.7477000 -0.0170500
0.7978000 -0.0094300
0.8481100 -0.0026800
0.8986200 0.0023900
0.9493200 0.0046300
1.0000000 0.0000000
