NACA CYH
1.0000000 0.0205000
0.9500000 0.0293000
0.9000000 0.0384000
0.8000000 0.0562000
0.7000000 0.0741000
0.6000000 0.0915000
0.5000000 0.1052000
0.4000000 0.1140000
0.3000000 0.1170000
0.2000000 0.1136000
0.1500000 0.1068000
0.1000000 0.0960000
0.0750000 0.0885000
0.0500000 0.0790000
0.0250000 0.0650000
0.0125000 0.0545000
0.0000000 0.0350000
0.0125000 0.0193000
0.0250000 0.0147000
0.0500000 0.0093000
0.0750000 0.0063000
0.1000000 0.0042000
0.1500000 0.0015000
0.2000000 0.0003000
0.3000000 0.0000000
0.4000000 0.0000000
0.5000000 0.0000000
0.6000000 0.0000000
0.7000000 0.0006000
0.8000000 0.0038000
0.9000000 0.0102000
0.9500000 0.0140000
1.0000000 0.0185000
