NACA M18
1.0000000 0.0295000
0.9500000 0.0366000
0.9000000 0.0445000
0.8000000 0.0623000
0.7000000 0.0809000
0.6000000 0.0982000
0.5000000 0.1133000
0.4000000 0.1226000
0.3000000 0.1242000
0.2000000 0.1148000
0.1500000 0.1047000
0.1000000 0.0894000
0.0750000 0.0799000
0.0500000 0.0678000
0.0250000 0.0525000
0.0125000 0.0425000
0.0000000 0.0220000
0.0125000 0.0056000
0.0250000 0.0025000
0.0500000 0.0003000
0.0750000 0.0000000
0.1000000 0.0003000
0.1500000 0.0017000
0.2000000 0.0031000
0.3000000 0.0046000
0.4000000 0.0041000
0.5000000 0.0019000
0.6000000 0.0003000
0.7000000 0.0005000
0.8000000 0.0040000
0.9000000 0.0117000
0.9500000 0.0175000
1.0000000 0.0251000
