PMC19 Smoothed
1.0000000 0.0009500
0.9975400 0.0012400
0.9907000 0.0018900
0.9803700 0.0025800
0.9669800 0.0032500
0.9504400 0.0040000
0.9306400 0.0049700
0.9077500 0.0062700
0.8820200 0.0079500
0.8537000 0.0100600
0.8230900 0.0126000
0.7904800 0.0155600
0.7561600 0.0189100
0.7204300 0.0225800
0.6835900 0.0265000
0.6459400 0.0305800
0.6077800 0.0347600
0.5693700 0.0389200
0.5309900 0.0430100
0.4926500 0.0469400
0.4543500 0.0506500
0.4163800 0.0540600
0.3788700 0.0570700
0.3420400 0.0595900
0.3060900 0.0615100
0.2712000 0.0627100
0.2376000 0.0630500
0.2054900 0.0623700
0.1750400 0.0604900
0.1464800 0.0573100
0.1199900 0.0528800
0.0957600 0.0473900
0.0739500 0.0410100
0.0546800 0.0340700
0.0381100 0.0271700
0.0243300 0.0207500
0.0133800 0.0147600
0.0054800 0.0090500
0.0009800 0.0035900
0.0000000 -0.0001100
0.0009800 -0.0034300
0.0054800 -0.0071300
0.0133800 -0.0095900
0.0243300 -0.0108900
0.0381100 -0.0115100
0.0546800 -0.0119800
0.0739500 -0.0124900
0.0957600 -0.0131800
0.1199900 -0.0142300
0.1464800 -0.0158000
0.1750400 -0.0180000
0.2054900 -0.0207300
0.2376000 -0.0237500
0.2712000 -0.0268300
0.3060900 -0.0297700
0.3420400 -0.0323500
0.3788700 -0.0344000
0.4163800 -0.0357600
0.4543500 -0.0363200
0.4926500 -0.0361000
0.5309900 -0.0351400
0.5693700 -0.0335500
0.6077800 -0.0313800
0.6459400 -0.0287200
0.6835900 -0.0257000
0.7204300 -0.0224200
0.7561600 -0.0190300
0.7904800 -0.0156700
0.8230900 -0.0125100
0.8537000 -0.0096900
0.8820200 -0.0072900
0.9077500 -0.0053600
0.9306400 -0.0039000
0.9504400 -0.0029700
0.9669800 -0.0025500
0.9803700 -0.0023200
0.9907000 -0.0019200
0.9975400 -0.0013400
1.0000000 -0.0010300
