S1223 RTL
1.0000000 0.0000000
0.9935820 0.0051740
0.9842370 0.0127210
0.9734520 0.0199590
0.9606210 0.0267180
0.9451730 0.0334310
0.9266430 0.0404260
0.9048800 0.0477390
0.8801670 0.0552490
0.8531510 0.0627810
0.8245890 0.0701700
0.7951300 0.0772850
0.7652390 0.0840300
0.7352040 0.0903290
0.7051480 0.0961310
0.6750700 0.1014100
0.6448880 0.1061680
0.6144670 0.1104290
0.5836560 0.1142410
0.5523040 0.1176720
0.5203140 0.1208110
0.4876970 0.1237500
0.4546050 0.1265650
0.4213370 0.1292900
0.3883250 0.1318990
0.3560590 0.1342960
0.3250610 0.1363390
0.2958690 0.1378480
0.2688210 0.1386070
0.2438160 0.1384180
0.2204930 0.1371680
0.1985170 0.1348180
0.1776610 0.1313530
0.1577720 0.1267720
0.1387740 0.1210940
0.1206580 0.1143640
0.1034780 0.1066540
0.0873470 0.0981060
0.0724600 0.0889660
0.0590650 0.0795960
0.0473760 0.0703980
0.0374690 0.0617020
0.0292590 0.0536610
0.0225480 0.0462810
0.0171030 0.0395060
0.0127010 0.0332770
0.0091530 0.0275380
0.0063140 0.0222350
0.0040760 0.0173150
0.0023650 0.0127270
0.0011280 0.0084320
0.0003380 0.0043970
-0.0000080 0.0006030
0.0001400 -0.0030150
0.0010400 -0.0065320
0.0030930 -0.0095940
0.0062710 -0.0117930
0.0101970 -0.0132090
0.0147060 -0.0141300
0.0198360 -0.0147380
0.0257280 -0.0151280
0.0326030 -0.0153400
0.0407840 -0.0153630
0.0507450 -0.0151570
0.0631600 -0.0146480
0.0788920 -0.0137260
0.0986810 -0.0122630
0.1224210 -0.0101290
0.1490360 -0.0072050
0.1776120 -0.0034220
0.2079110 0.0011420
0.2397070 0.0062510
0.2725000 0.0116650
0.3057520 0.0172050
0.3389300 0.0227040
0.3717260 0.0280300
0.4040380 0.0330890
0.4358470 0.0377980
0.4671630 0.0420890
0.4980310 0.0459010
0.5284940 0.0491830
0.5586160 0.0518980
0.5884430 0.0540110
0.6180270 0.0554990
0.6474020 0.0563390
0.6766160 0.0565160
0.7056870 0.0560180
0.7346360 0.0548390
0.7634380 0.0529760
0.7920490 0.0504320
0.8203400 0.0472180
0.8480750 0.0433700
0.8748350 0.0389460
0.9000110 0.0340600
0.9229180 0.0288560
0.9430640 0.0234630
0.9603520 0.0179540
0.9750010 0.0123740
0.9873410 0.0068020
1.0000000 0.0000000
