SELIG 3002-099-83
1.0000000 0.0000000
0.9967600 0.0004800
0.9872300 0.0020500
0.9719100 0.0048300
0.9513100 0.0086700
0.9257600 0.0133000
0.8955300 0.0186200
0.8610400 0.0246300
0.8228600 0.0312400
0.7816100 0.0382500
0.7378700 0.0453800
0.6921400 0.0522600
0.6448100 0.0586800
0.5963400 0.0644100
0.5471100 0.0693000
0.4975800 0.0732800
0.4482000 0.0762700
0.3994400 0.0782300
0.3517800 0.0791500
0.3057200 0.0790000
0.2617300 0.0777600
0.2202600 0.0753700
0.1816500 0.0718100
0.1461900 0.0671100
0.1141700 0.0613500
0.0858300 0.0546000
0.0613500 0.0470100
0.0408700 0.0387300
0.0245000 0.0300000
0.0123400 0.0210500
0.0044000 0.0121100
0.0004800 0.0036000
0.0005100 -0.0033300
0.0060200 -0.0083100
0.0177800 -0.0122300
0.0350700 -0.0154400
0.0576300 -0.0179600
0.0852200 -0.0197600
0.1176100 -0.0208700
0.1544900 -0.0214500
0.1953700 -0.0215900
0.2397600 -0.0213600
0.2871100 -0.0207800
0.3368400 -0.0198800
0.3883500 -0.0186900
0.4410200 -0.0171700
0.4942400 -0.0152700
0.5475000 -0.0129400
0.6002700 -0.0102000
0.6519900 -0.0069700
0.7025000 -0.0031100
0.7518600 0.0008100
0.7993200 0.0038200
0.8436600 0.0055000
0.8837300 0.0059000
0.9186300 0.0052700
0.9477000 0.0040200
0.9705200 0.0025700
0.9868800 0.0012500
0.9967200 0.0003300
1.0000000 0.0000000
