S8025 (8%)
1.0000000 0.0000000
0.9991900 0.0000200
0.9967800 0.0001200
0.9928400 0.0003400
0.9874500 0.0006600
0.9806300 0.0010400
0.9723800 0.0014700
0.9627000 0.0019600
0.9516500 0.0025300
0.9392500 0.0031800
0.9255600 0.0039100
0.9106000 0.0047300
0.8944500 0.0056300
0.8771300 0.0066200
0.8587200 0.0076900
0.8392700 0.0088500
0.8188400 0.0100900
0.7974900 0.0114100
0.7752800 0.0128100
0.7523000 0.0142900
0.7286000 0.0158500
0.7042700 0.0174900
0.6793800 0.0192100
0.6540500 0.0210000
0.6283500 0.0228400
0.6023500 0.0247100
0.5761500 0.0265800
0.5498000 0.0284500
0.5233900 0.0303100
0.4970200 0.0321200
0.4707300 0.0338700
0.4446100 0.0355500
0.4187300 0.0371400
0.3931800 0.0386200
0.3680100 0.0399700
0.3432700 0.0411800
0.3190600 0.0422300
0.2954300 0.0431100
0.2724400 0.0437900
0.2501300 0.0442600
0.2285700 0.0445200
0.2078200 0.0445400
0.1879100 0.0442800
0.1688400 0.0437700
0.1506900 0.0430100
0.1335000 0.0419900
0.1172900 0.0406700
0.1020300 0.0390800
0.0877900 0.0372500
0.0746200 0.0351600
0.0625000 0.0328000
0.0514100 0.0302100
0.0413700 0.0274300
0.0324400 0.0244800
0.0246100 0.0213400
0.0178100 0.0180600
0.0121000 0.0147200
0.0075200 0.0113600
0.0040600 0.0079600
0.0016300 0.0045800
0.0002500 0.0014100
0.0002000 -0.0012600
0.0017700 -0.0037600
0.0048100 -0.0064900
0.0090700 -0.0093200
0.0145100 -0.0121600
0.0210900 -0.0149600
0.0287700 -0.0176300
0.0376100 -0.0201200
0.0476500 -0.0224400
0.0588200 -0.0246200
0.0710900 -0.0266000
0.0844700 -0.0283600
0.0989600 -0.0299300
0.1145100 -0.0313000
0.1310700 -0.0324700
0.1486200 -0.0334300
0.1671600 -0.0341700
0.1866200 -0.0347400
0.2069400 -0.0351100
0.2280900 -0.0353000
0.2500200 -0.0353000
0.2726700 -0.0351500
0.2959600 -0.0348300
0.3198600 -0.0343600
0.3443100 -0.0337400
0.3692300 -0.0329900
0.3945500 -0.0321100
0.4202100 -0.0311200
0.4461400 -0.0300200
0.4722700 -0.0288300
0.4985100 -0.0275400
0.5248100 -0.0261500
0.5511300 -0.0247000
0.5773800 -0.0232000
0.6034900 -0.0216800
0.6293600 -0.0201500
0.6549400 -0.0186200
0.6801300 -0.0171200
0.7048500 -0.0156400
0.7290400 -0.0142000
0.7526100 -0.0128100
0.7754900 -0.0114700
0.7976100 -0.0102000
0.8189000 -0.0089900
0.8392900 -0.0078600
0.8587100 -0.0068100
0.8771000 -0.0058300
0.8944100 -0.0049400
0.9105700 -0.0041300
0.9255200 -0.0034000
0.9392200 -0.0027600
0.9516300 -0.0021900
0.9626900 -0.0017000
0.9723700 -0.0012700
0.9806200 -0.0009000
0.9874500 -0.0005700
0.9928400 -0.0002900
0.9967700 -0.0001000
0.9991900 -0.0000100
1.0000000 0.0000000
