S8052 (11.88%)
1.0000000 0.0000000
0.9980300 0.0001800
0.9923100 0.0007900
0.9830100 0.0018100
0.9702200 0.0033000
0.9541200 0.0053300
0.9349100 0.0079000
0.9128000 0.0110400
0.8880400 0.0147200
0.8608700 0.0189100
0.8315500 0.0235700
0.8003600 0.0286300
0.7675900 0.0340000
0.7335100 0.0395700
0.6984100 0.0452400
0.6625900 0.0508300
0.6263500 0.0561700
0.5898400 0.0608800
0.5529900 0.0648200
0.5158800 0.0681400
0.4787300 0.0708100
0.4416900 0.0728300
0.4050100 0.0742300
0.3688700 0.0749800
0.3334400 0.0751100
0.2989600 0.0746100
0.2656000 0.0735100
0.2335700 0.0718200
0.2030400 0.0695700
0.1742200 0.0667600
0.1472700 0.0634100
0.1223400 0.0595100
0.0995600 0.0551000
0.0790700 0.0501200
0.0608500 0.0445800
0.0449300 0.0386400
0.0314000 0.0323400
0.0202500 0.0257900
0.0116500 0.0191600
0.0055200 0.0124000
0.0016300 0.0056900
0.0000100 -0.0003700
0.0014700 -0.0054000
0.0065100 -0.0098500
0.0147100 -0.0142700
0.0258300 -0.0186000
0.0397700 -0.0227100
0.0564200 -0.0265400
0.0756900 -0.0300300
0.0974900 -0.0331600
0.1216900 -0.0359000
0.1481800 -0.0382400
0.1767800 -0.0401800
0.2073500 -0.0417100
0.2397000 -0.0428300
0.2736400 -0.0435400
0.3089600 -0.0438500
0.3454500 -0.0437700
0.3828800 -0.0433100
0.4210000 -0.0424800
0.4595700 -0.0412700
0.4983400 -0.0396700
0.5370200 -0.0375800
0.5755600 -0.0349400
0.6138900 -0.0318500
0.6518100 -0.0284300
0.6891600 -0.0248100
0.7256800 -0.0211600
0.7611300 -0.0176200
0.7951800 -0.0143300
0.8275100 -0.0113600
0.8578200 -0.0087600
0.8858100 -0.0065600
0.9112100 -0.0047500
0.9337700 -0.0033000
0.9532500 -0.0021800
0.9695000 -0.0012800
0.9824600 -0.0005600
0.9920400 -0.0001100
0.9979800 0.0000200
1.0000000 0.0000000
