SD7043 (9.1%)
1.0000000 0.0000000
0.9968100 0.0004600
0.9873600 0.0019100
0.9720200 0.0045100
0.9512100 0.0082800
0.9254400 0.0131500
0.8952200 0.0189700
0.8610800 0.0255300
0.8235100 0.0325600
0.7830100 0.0397900
0.7400400 0.0469000
0.6950000 0.0536200
0.6482500 0.0597400
0.6001900 0.0651500
0.5512700 0.0697500
0.5019900 0.0734700
0.4528200 0.0762000
0.4042200 0.0778900
0.3566500 0.0785000
0.3105600 0.0780200
0.2663900 0.0764500
0.2245700 0.0738200
0.1854900 0.0701500
0.1495400 0.0654900
0.1170200 0.0598900
0.0882100 0.0534000
0.0633100 0.0461200
0.0424900 0.0381800
0.0258100 0.0297500
0.0133400 0.0210600
0.0050900 0.0123600
0.0008300 0.0040400
0.0005200 -0.0027800
0.0055500 -0.0077000
0.0166900 -0.0115000
0.0332400 -0.0145200
0.0550100 -0.0166900
0.0818300 -0.0180200
0.1134500 -0.0185600
0.1495600 -0.0183900
0.1897900 -0.0175600
0.2337400 -0.0161700
0.2809400 -0.0142900
0.3308800 -0.0120400
0.3830200 -0.0095100
0.4367800 -0.0068300
0.4915300 -0.0041200
0.5466500 -0.0014800
0.6014600 0.0009600
0.6553000 0.0031100
0.7075100 0.0048700
0.7574000 0.0061500
0.8043000 0.0068800
0.8475500 0.0070300
0.8865000 0.0065400
0.9204700 0.0054600
0.9488100 0.0040000
0.9711000 0.0024800
0.9871300 0.0011900
0.9967800 0.0003100
1.0000100 -0.0000000
