SD8040 (10%)
1.0000000 0.0000000
0.9966700 0.0003700
0.9868400 0.0016200
0.9709300 0.0039700
0.9494600 0.0074800
0.9229900 0.0120800
0.8920500 0.0175700
0.8571700 0.0236900
0.8188100 0.0301800
0.7773900 0.0367500
0.7333100 0.0432100
0.6869900 0.0494200
0.6389300 0.0552700
0.5896600 0.0606000
0.5396900 0.0653000
0.4895300 0.0692500
0.4397000 0.0723300
0.3907000 0.0744400
0.3430000 0.0755200
0.2970600 0.0755000
0.2533200 0.0743400
0.2121800 0.0720100
0.1739800 0.0685000
0.1390300 0.0638600
0.1076100 0.0581400
0.0799400 0.0514400
0.0562000 0.0438900
0.0365300 0.0356500
0.0209900 0.0269400
0.0096700 0.0180900
0.0027100 0.0093800
0.0000400 0.0010100
0.0015700 -0.0058200
0.0084500 -0.0109700
0.0212000 -0.0154200
0.0392500 -0.0191100
0.0624100 -0.0220200
0.0904600 -0.0241300
0.1231700 -0.0254600
0.1602300 -0.0260900
0.2012500 -0.0261000
0.2457600 -0.0255800
0.2932600 -0.0245600
0.3432400 -0.0231100
0.3951300 -0.0213000
0.4483600 -0.0192100
0.5023200 -0.0169000
0.5564000 -0.0144500
0.6099900 -0.0119300
0.6624900 -0.0094300
0.7132700 -0.0070400
0.7617400 -0.0048700
0.8072600 -0.0030100
0.8492100 -0.0015300
0.8870000 -0.0004400
0.9201000 0.0002600
0.9480300 0.0006200
0.9703600 0.0006400
0.9866800 0.0004400
0.9966500 0.0001400
1.0000000 0.0000000
