Drela T16
1.0029400 0.0125280
0.9941920 0.0145650
0.9812600 0.0175590
0.9643220 0.0214570
0.9454940 0.0257650
0.9261750 0.0301540
0.9067820 0.0345210
0.8873780 0.0388370
0.8679830 0.0430980
0.8486270 0.0472850
0.8293030 0.0513790
0.8100000 0.0553690
0.7907070 0.0592480
0.7714170 0.0630070
0.7521240 0.0666420
0.7328240 0.0701480
0.7135150 0.0735200
0.6941970 0.0767540
0.6748690 0.0798460
0.6555350 0.0827920
0.6361970 0.0855860
0.6168540 0.0882220
0.5975090 0.0906930
0.5781640 0.0929950
0.5588190 0.0951210
0.5394760 0.0970640
0.5201370 0.0988180
0.5008060 0.1003770
0.4814830 0.1017330
0.4621720 0.1028780
0.4428790 0.1038050
0.4236050 0.1045050
0.4043560 0.1049700
0.3851380 0.1051900
0.3659550 0.1051550
0.3468140 0.1048540
0.3277250 0.1042790
0.3086930 0.1034140
0.2897310 0.1022490
0.2708470 0.1007700
0.2520580 0.0989620
0.2333770 0.0968090
0.2148180 0.0942960
0.1964070 0.0914070
0.1781850 0.0881250
0.1601900 0.0844250
0.1424650 0.0802820
0.1250630 0.0756700
0.1080540 0.0705660
0.0915350 0.0649480
0.0756380 0.0588060
0.0605610 0.0521590
0.0466050 0.0450860
0.0342130 0.0378030
0.0238900 0.0306970
0.0159040 0.0242010
0.0100760 0.0185400
0.0059550 0.0136860
0.0031090 0.0094790
0.0012450 0.0057560
0.0002300 0.0023880
0.0000000 0.0000000
0.0002280 -0.0023880
0.0017970 -0.0055150
0.0049390 -0.0072610
0.0106100 -0.0072660
0.0176970 -0.0059800
0.0250640 -0.0042420
0.0337660 -0.0020100
0.0446240 0.0008360
0.0577780 0.0042780
0.0724850 0.0080920
0.0882760 0.0121540
0.1047690 0.0163600
0.1216660 0.0206100
0.1387520 0.0248200
0.1559460 0.0289360
0.1732320 0.0329220
0.1906110 0.0367510
0.2080920 0.0404020
0.2256810 0.0438710
0.2433790 0.0471720
0.2612090 0.0502840
0.2792010 0.0532040
0.2973560 0.0559210
0.3156580 0.0584160
0.3340930 0.0606710
0.3526440 0.0626710
0.3713000 0.0643970
0.3900420 0.0658330
0.4088560 0.0669640
0.4277280 0.0677720
0.4466460 0.0682430
0.4655950 0.0683610
0.4845650 0.0681160
0.5035450 0.0675150
0.5225270 0.0665800
0.5415070 0.0653330
0.5604850 0.0637930
0.5794550 0.0619840
0.5984160 0.0599270
0.6173640 0.0576420
0.6362960 0.0551530
0.6552070 0.0524760
0.6740970 0.0496250
0.6929730 0.0466070
0.7118350 0.0434370
0.7306910 0.0401210
0.7495530 0.0366700
0.7684330 0.0330940
0.7873400 0.0293990
0.8062890 0.0255960
0.8252880 0.0216920
0.8442510 0.0177170
0.8633700 0.0136400
0.8825270 0.0094880
0.9016400 0.0052750
0.9394720 -0.0032630
0.9578030 -0.0074980
0.9744200 -0.0113900
0.9873330 -0.0144510
0.9960670 -0.0165400
