USNPS4 (smoothed)
1.0000000 0.0039070
0.9975400 0.0050140
0.9907000 0.0080680
0.9803700 0.0124140
0.9669800 0.0176390
0.9504400 0.0235670
0.9306400 0.0300510
0.9077500 0.0368810
0.8820200 0.0438800
0.8537000 0.0509070
0.8230900 0.0578400
0.7904800 0.0645950
0.7561600 0.0711040
0.7204300 0.0772850
0.6835900 0.0830740
0.6459400 0.0884140
0.6077800 0.0932420
0.5693700 0.0975130
0.5309900 0.1011900
0.4926500 0.1042610
0.4543500 0.1067040
0.4163800 0.1084800
0.3788700 0.1095590
0.3420400 0.1098990
0.3060900 0.1094550
0.2712000 0.1081740
0.2376000 0.1059910
0.2054900 0.1028290
0.1750400 0.0986050
0.1464800 0.0932360
0.1199900 0.0866350
0.0957600 0.0787400
0.0739500 0.0695260
0.0546800 0.0591120
0.0381100 0.0479360
0.0243300 0.0365430
0.0133800 0.0254200
0.0054800 0.0150340
0.0009800 0.0058370
0.0000000 0.0001740
0.0009800 -0.0044940
0.0054800 -0.0093080
0.0133800 -0.0123720
0.0243300 -0.0139400
0.0381100 -0.0143960
0.0546800 -0.0141390
0.0739500 -0.0135270
0.0957600 -0.0128510
0.1199900 -0.0122310
0.1464800 -0.0116890
0.1750400 -0.0112230
0.2054900 -0.0108190
0.2376000 -0.0104620
0.2712000 -0.0101350
0.3060900 -0.0098250
0.3420400 -0.0095190
0.3788700 -0.0092110
0.4163800 -0.0088960
0.4543500 -0.0085720
0.4926500 -0.0082380
0.5309900 -0.0078990
0.5693700 -0.0075540
0.6077800 -0.0072070
0.6459400 -0.0068620
0.6835900 -0.0065220
0.7204300 -0.0061910
0.7561600 -0.0058730
0.7904800 -0.0055710
0.8230900 -0.0052880
0.8537000 -0.0050280
0.8820200 -0.0047910
0.9077500 -0.0045810
0.9306400 -0.0043970
0.9504400 -0.0042410
0.9669800 -0.0041120
0.9803700 -0.0040070
0.9907000 -0.0039250
0.9975400 -0.0038690
1.0000000 -0.0038490
