WASP (smoothed)
1.0000000 0.0000700
0.9975400 0.0013200
0.9907000 0.0039200
0.9803700 0.0063200
0.9669800 0.0083100
0.9504400 0.0106000
0.9306400 0.0137300
0.9077500 0.0175400
0.8820200 0.0217300
0.8537000 0.0261600
0.8230900 0.0307100
0.7904800 0.0353400
0.7561600 0.0400100
0.7204300 0.0446700
0.6835900 0.0492300
0.6459400 0.0536200
0.6077800 0.0577500
0.5693700 0.0615400
0.5309900 0.0649500
0.4926500 0.0679600
0.4543500 0.0705500
0.4163800 0.0726500
0.3788700 0.0742100
0.3420400 0.0751400
0.3060900 0.0753700
0.2712000 0.0748200
0.2376000 0.0734500
0.2054900 0.0712200
0.1750400 0.0681300
0.1464800 0.0641900
0.1199900 0.0594400
0.0957600 0.0538800
0.0739500 0.0475000
0.0546800 0.0404000
0.0381100 0.0328800
0.0243300 0.0252800
0.0133800 0.0177900
0.0054800 0.0106000
0.0009800 0.0039500
0.0000000 -0.0004200
0.0009800 -0.0043400
0.0054800 -0.0089700
0.0133800 -0.0127300
0.0243300 -0.0157000
0.0381100 -0.0179900
0.0546800 -0.0197300
0.0739500 -0.0209400
0.0957600 -0.0216700
0.1199900 -0.0219700
0.1464800 -0.0218900
0.1750400 -0.0214700
0.2054900 -0.0207700
0.2376000 -0.0198400
0.2712000 -0.0187200
0.3060900 -0.0174600
0.3420400 -0.0160800
0.3788700 -0.0146200
0.4163800 -0.0130900
0.4543500 -0.0115400
0.4926500 -0.0100200
0.5309900 -0.0085600
0.5693700 -0.0072300
0.6077800 -0.0060400
0.6459400 -0.0050300
0.6835900 -0.0042000
0.7204300 -0.0035300
0.7561600 -0.0029900
0.7904800 -0.0025800
0.8230900 -0.0023100
0.8537000 -0.0022000
0.8820200 -0.0022300
0.9077500 -0.0023700
0.9306400 -0.0025800
0.9504400 -0.0029100
0.9669800 -0.0032300
0.9803700 -0.0031300
0.9907000 -0.0022500
0.9975400 -0.0008800
1.0000000 -0.0001600
